Protein names	Gene names	PEP	log2 H/L Sample HA_IP
S-adenosylmethionine synthase isoform type-2	Mat2a	3,06E-45	1,104945606
"Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase"	Paics	2,04E-75	0,90627758
Peroxiredoxin-2	Prdx2	2,09E-145	0,813448733
40S ribosomal protein S14	Rps14	7,16E-64	6,359815926
60S ribosomal protein L9	Rpl9	1,59E-51	6,300960153
Heterogeneous nuclear ribonucleoprotein A0	Hnrnpa0	5,76E-43	6,16980959
40S ribosomal protein S13	Rps13	1,30E-40	6,054572083
60S ribosomal protein L17	Rpl17	8,62E-39	6,010471481
"Histone H1.2;Histone H1.3"	"Hist1h1c;Hist1h1d"	4,50E-39	5,946527166
Serine/arginine-rich splicing factor 1	Srsf1	2,82E-32	5,559859978
ESF1 homolog	Esf1	3,27E-94	5,51708152
Dolichol-phosphate mannosyltransferase	Dpm1	7,11E-29	5,388657623
Putative RNA-binding protein Luc7-like 1	Luc7l	1,33E-68	5,304889886
	Upf2	4,75E-22	5,123006539
Dehydrogenase/reductase SDR family member 7B	Dhrs7b	3,48E-31	5,043205828
SRSF protein kinase 1	Srpk1	6,62E-23	5,003651751
Transcriptional activator protein Pur-alpha	Pura	1,36E-26	4,946838605
	Hnrnpr	3,14E-92	4,86081868
Rho guanine nucleotide exchange factor 40	Arhgef40	9,72E-24	4,82635572
ATP-binding cassette sub-family D member 3	Abcd3	1,84E-37	4,781027932
	Rbm6	6,26E-18	4,730669964
Apoptosis-inducing factor 1, mitochondrial	Aifm1	1,72E-28	4,714595414
Fragile X mental retardation syndrome-related protein 1	Fxr1	1,10E-44	4,627217248
Ubiquitin carboxyl-terminal hydrolase 10	Usp10	1,32E-46	4,598832668
Integrator complex subunit 1	Ints1	1,03E-19	4,496549491
	"Luzp4;Gm15128"	1,53E-37	4,43228323
"Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain"	Map1s	4,70E-30	4,355438562
"Glycylpeptide N-tetradecanoyltransferase;Glycylpeptide N-tetradecanoyltransferase 2"	Nmt2	1,12E-48	4,255280883
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	Rpn2	6,14E-55	4,20085963
	Numa1	1,12E-25	4,14211134
"Methionine aminopeptidase;Methionine aminopeptidase 2"	Metap2	3,81E-26	4,127462763
Tight junction protein ZO-2	Tjp2	3,53E-21	4,045872196
Glycylpeptide N-tetradecanoyltransferase 1	Nmt1	8,97E-71	4,017206797
AP-2 complex subunit alpha-1	Ap2a1	5,43E-29	3,918856745
	Ncapg	4,61E-24	3,749542852
Eukaryotic translation initiation factor 3 subunit E	Eif3e	1,81E-24	3,42729268
Splicing factor 1	Sf1	1,01E-30	3,423123822
Protein WWC2	Wwc2	1,48E-20	3,409247575
Kinesin-like protein KIFC1	"Kifc5b;Kifc1"	2,11E-67	3,16760413
Proteasome activator complex subunit 3	Psme3	1,85E-36	2,803896602
Nucleosome assembly protein 1-like 1	Nap1l1	1,11E-59	2,773984784
	Nt5dc2	4,10E-55	2,591788143
Ubiquitin-like modifier-activating enzyme 1	Uba1	1,76E-37	2,181934793
DNA replication licensing factor MCM7	Mcm7	4,66E-28	2,038361856
"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform"	"Ppp2r2a;Ppp2r2d"	1,48E-29	2,032329673
Beta-actin-like protein 2	Actbl2	5,27E-210	1,824034754
Enoyl-CoA hydratase, mitochondrial	Echs1	1,23E-30	1,194889183
	Dut	7,04E-77	1,102248428
Inositol-3-phosphate synthase 1	Isyna1	4,66E-76	0,961760499
GMP synthase [glutamine-hydrolyzing]	Gmps	1,30E-27	0,88803391
Inorganic pyrophosphatase	Ppa1	6,71E-21	0,821814417
Inositol monophosphatase 1	Impa1	5,32E-38	0,809448348
"Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	Naca	2,62E-133	6,05514755
60S ribosomal protein L13a	Rpl13a	1,51E-67	5,897629429
60S ribosomal protein L21	Rpl21	1,43E-81	5,87730343
Estradiol 17-beta-dehydrogenase 12	Hsd17b12	7,94E-40	5,841621606
60S ribosomal protein L11	"Rpl11;Gm10036;Gm5093"	4,35E-228	5,819047612
Mitochondrial translocator assembly and maintenance protein 41 homolog	Tamm41	3,04E-23	5,798988514
40S ribosomal protein S17	Rps17	1,05E-67	5,754616301
60S ribosomal protein L23	Rpl23	2,62E-55	5,67942059
Probable dimethyladenosine transferase	Dimt1	5,54E-26	5,442473254
General transcription factor IIE subunit 2	Gtf2e2	4,32E-17	5,364919875
Large subunit GTPase 1 homolog	Lsg1	3,95E-32	5,258922243
Pleckstrin homology domain-containing family H member 3	Plekhh3	2,77E-29	5,15205439
"Microtubule-associated protein 4;Microtubule-associated protein"	Map4	3,54E-27	5,138524159
UPF0568 protein C14orf166 homolog	Gm10704	2,14E-26	5,128749319
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	Ndufa9	1,37E-30	5,065400468
Heterogeneous nuclear ribonucleoprotein H2	Hnrnph2	2,61E-247	5,036087955
Zinc finger CCCH domain-containing protein 15	Zc3h15	7,20E-61	5,033534093
Glutamate-rich WD repeat-containing protein 1	Grwd1	8,10E-35	4,981513948
Putative methyltransferase NSUN5	Nsun5	2,24E-40	4,801883071
MAP7 domain-containing protein 2	Map7d2	3,34E-32	4,73939136
	Ddx23	6,35E-27	4,654971584
Zinc finger CCCH domain-containing protein 18	Zc3h18	2,67E-16	4,369952451
Nucleolar protein 58	Nop58	2,13E-48	4,262711278
WW domain-binding protein 11	Wbp11	3,77E-22	4,239852308
Coiled-coil domain-containing protein 124	Ccdc124	9,72E-36	4,217645118
AP-2 complex subunit beta	Ap2b1	5,94E-19	4,213544151
Collagen alpha-5(VI) chain	Col6a5	1,78E-15	4,046921047
	Eef1d	5,19E-48	3,986742144
Sphingosine-1-phosphate lyase 1	Sgpl1	5,06E-44	3,979009308
Heat shock 70 kDa protein 4	Hspa4	3,69E-39	3,967656494
Eukaryotic translation initiation factor 3 subunit F	Eif3f	2,71E-62	3,905715278
Aspartyl/asparaginyl beta-hydroxylase	Asph	8,69E-27	3,890593971
Signal recognition particle receptor subunit beta	"Srprb;Gm20425"	2,32E-24	3,880997152
Kinesin-like protein KIF2A	Kif2a	5,92E-22	3,798607026
Histone H4	Hist1h4a	7,73E-39	3,733353764
Protein AATF	Aatf	2,63E-25	3,673959742
Splicing factor 3B subunit 3	Sf3b3	7,91E-27	3,624794825
Serine/threonine-protein phosphatase 6 regulatory subunit 3	Ppp6r3	4,49E-20	3,623496229
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Ddost	6,53E-32	3,569796098
"Histone deacetylase 1;Histone deacetylase"	"Hdac1;Gm10093"	1,01E-21	3,562516562
Elongation factor 1-delta	Eef1d	5,21E-51	3,351162772
Phosphate carrier protein, mitochondrial	Slc25a3	3,07E-80	3,231752145
Calcium/calmodulin-dependent protein kinase type II subunit delta	Camk2d	2,91E-28	2,973242426
Histone-binding protein RBBP4	Rbbp4	5,50E-42	2,922811701
"DNA-directed RNA polymerase, mitochondrial;DNA-directed RNA polymerase"	Polrmt	9,06E-27	2,912998895
"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed"	Prkar1a	1,51E-29	2,892713865
Myosin light polypeptide 6	Myl6	1,74E-57	2,625667141
Nucleoprotein TPR	Tpr	1,42E-15	2,356088412
Unconventional myosin-Va	Myo5a	2,58E-19	2,285670946
Transferrin receptor protein 1	Tfrc	1,66E-17	2,245163795
Transgelin-2	Tagln2	2,77E-26	1,658355759
F-actin-capping protein subunit alpha-1	Capza1	7,45E-29	1,268295397
"Acetyl-CoA carboxylase 1;Biotin carboxylase"	Acaca	5,13E-13	1,194195778
Calponin-3	Cnn3	5,96E-26	1,014732751
Cofilin-1	Cfl1	1,01E-76	1,013800251
SH2 domain-containing protein 3C	Sh2d3c	7,83E-26	0,792956777
Activated RNA polymerase II transcriptional coactivator p15	Sub1	4,27E-60	6,388899402
40S ribosomal protein S10	Rps10	3,09E-62	6,352134769
60S ribosomal protein L32	Rpl32	2,16E-21	6,031928423
40S ribosomal protein S27	Rps27	8,10E-63	5,883933396
60S ribosomal protein L12	Rpl12	3,27E-153	5,84609611
rRNA 2-O-methyltransferase fibrillarin	Fbl	1,78E-18	5,763680056
60S ribosomal protein L30	Rpl30	2,57E-42	5,420062974
General transcription factor IIE subunit 1	Gtf2e1	2,30E-40	5,391925063
28S ribosomal protein S27, mitochondrial	Mrps27	2,03E-21	5,205882789
Interleukin enhancer-binding factor 2	Ilf2	5,67E-24	5,051411113
Pre-rRNA-processing protein TSR1 homolog	Tsr1	2,86E-38	4,928270276
28S ribosomal protein S29, mitochondrial	Dap3	3,66E-22	4,719870356
CDKN2A-interacting protein	Cdkn2aip	1,65E-26	4,605209309
Nischarin	Nisch	5,16E-15	4,560710915
"Ubiquitin carboxyl-terminal hydrolase 7;Ubiquitin carboxyl-terminal hydrolase"	Usp7	2,26E-14	4,486424363
Protein LTV1 homolog	Ltv1	8,73E-32	4,480325255
Probable ATP-dependent RNA helicase DDX6	Ddx6	4,22E-104	4,389866924
	Rsl1d1	1,45E-22	4,389685464
Ubiquitin-associated protein 2-like	Ubap2l	1,31E-34	4,364800973
Peptidyl-prolyl cis-trans isomerase FKBP8	Fkbp8	9,77E-52	4,194585364
Paired amphipathic helix protein Sin3a	Sin3a	1,09E-15	4,114559955
Gamma-tubulin complex component 2	Tubgcp2	2,89E-33	4,099222437
Cellular tumor antigen p53	"Trp53;Tp53"	3,62E-38	4,093152494
Condensin-2 complex subunit D3	Ncapd3	2,09E-15	3,982745092
AP-3 complex subunit delta-1	Ap3d1	1,71E-17	3,975124345
Importin-7	Ipo7	1,08E-33	3,874084451
Tyrosine--tRNA ligase, mitochondrial	Yars2	5,34E-16	3,781087431
Eukaryotic translation initiation factor 3 subunit I	Eif3i	1,15E-32	3,756779394
FH1/FH2 domain-containing protein 1	Fhod1	6,09E-17	3,669822545
"Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-II"	"Eif4a1;Eif4a2"	2,70E-36	3,584327855
Ubiquitin-associated protein 2	Ubap2	8,10E-33	3,371833001
	Obsl1	4,19E-15	3,241952718
Zinc finger protein 622	Znf622	1,22E-19	3,183244667
Enhancer of mRNA-decapping protein 4	Edc4	1,42E-16	2,921062317
Protein phosphatase 1 regulatory subunit 12A	Ppp1r12a	2,28E-23	2,908984022
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt	1,01E-14	2,779224303
Serine-protein kinase ATM	Atm	6,12E-15	2,763660461
Coronin-1C	Coro1c	1,81E-26	2,714917429
"Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9"	"Myl12a;Myl12b;Myl9"	1,19E-53	2,694601419
mRNA cap guanine-N7 methyltransferase	Rnmt	3,11E-32	2,672082743
Histone-binding protein RBBP7	Rbbp7	1,30E-35	2,656717264
Myosin-14	Myh14	1,42E-18	2,553934377
Drebrin	Dbn1	2,67E-18	2,376844831
4F2 cell-surface antigen heavy chain	Slc3a2	4,12E-17	2,3703403
Guanine nucleotide-binding protein subunit beta-2-like 1	Gnb2l1	3,77E-21	2,36134225
Poly(rC)-binding protein 2	Pcbp2	4,10E-52	2,302795544
"DNA ligase 1;DNA ligase"	Lig1	6,41E-14	1,92878651
3-hydroxyacyl-CoA dehydrogenase type-2	Hsd17b10	8,19E-53	1,893892932
Protein pelota homolog	Pelo	2,57E-18	1,737013685
Peptidyl-prolyl cis-trans isomerase A	Ppia	4,38E-25	1,556945073
Calcyclin-binding protein	Cacybp	1,74E-14	1,548649077
Glycine--tRNA ligase	Gars	4,09E-38	1,453280834
Programmed cell death 6-interacting protein	Pdcd6ip	6,65E-34	1,296296826
Ubiquitin carboxyl-terminal hydrolase isozyme L1	Uchl1	1,37E-29	1,087488089
Ubiquitin-conjugating enzyme E2 C	Ube2c	7,27E-29	1,06833207
Peroxiredoxin-4	Prdx4	2,22E-47	1,06187232
4-trimethylaminobutyraldehyde dehydrogenase	Aldh9a1	2,38E-16	1,040318857
"Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 5"	Usp5	6,96E-28	0,9596546
Thimet oligopeptidase	Thop1	4,43E-20	0,933490551
Macrophage migration inhibitory factor	Mif	9,62E-244	0,726066431
"Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain"	Asrgl1	3,39E-19	0,689683149
Uncharacterized protein C7orf50 homolog		9,05E-27	6,315594161
40S ribosomal protein S25	Rps25	5,79E-85	6,222807977
60S ribosomal protein L35	"Rpl35;Gm10269"	6,65E-90	6,19252637
60S ribosomal protein L22	Rpl22	4,44E-56	6,083630367
60S ribosomal protein L24	Rpl24	1,91E-58	6,019146988
40S ribosomal protein S23	Rps23	6,82E-29	5,945993428
Protein FAM207A	Fam207a	1,65E-17	5,846926247
40S ribosomal protein S15a	Rps15a	1,13E-31	5,795698993
"THO complex subunit 4;RNA and export factor-binding protein 2"	"Alyref;Refbp2;Alyref2"	1,40E-41	5,698997744
Serine/arginine-rich splicing factor 3	"Srsf3;Gm12355"	2,40E-22	5,651667854
YTH domain family protein 3	Ythdf3	3,89E-31	5,598762751
Replication factor C subunit 5	Rfc5	2,87E-21	5,473097872
Transcription factor 25	Tcf25	4,60E-14	5,445236317
60S ribosomal protein L36a	Rpl36a	3,58E-13	5,367538197
Partner of Y14 and mago	Wibg	2,40E-27	5,2353617
"RNA binding motif protein, X-linked-like-1;RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed"	"Rbmxl1;Rbmx"	2,58E-16	5,125371408
Splicing factor U2AF 35 kDa subunit	U2af1	4,06E-19	5,083581447
Replication factor C subunit 2	Rfc2	6,82E-35	5,058316726
	Srsf6	2,69E-17	5,046921047
Heterogeneous nuclear ribonucleoprotein D-like	Hnrpdl	2,90E-18	4,845183511
Peroxidasin homolog	Pxdn	7,22E-19	4,766151197
Guanine nucleotide-binding protein-like 3-like protein	Gnl3l	9,18E-23	4,744448509
ATP synthase subunit O, mitochondrial	Atp5o	1,55E-19	4,739969525
SWI/SNF complex subunit SMARCC1	Smarcc1	7,32E-18	4,733737571
Casein kinase I isoform delta	Csnk1d	4,51E-24	4,710359087
TAR DNA-binding protein 43	Tardbp	6,05E-67	4,702712309
Mortality factor 4-like protein 2	Morf4l2	3,09E-18	4,698585604
RNA-binding protein Musashi homolog 1	Msi1	4,00E-27	4,68917596
DNA repair protein RAD50	Rad50	1,07E-15	4,602297784
U1 small nuclear ribonucleoprotein A	"Snrpa;Gm5145"	3,77E-20	4,574154023
U4/U6.U5 tri-snRNP-associated protein 2	Usp39	7,39E-28	4,554934419
Kinesin-like protein KIF2C	Kif2c	2,48E-15	4,532390798
Gamma-tubulin complex component 3	Tubgcp3	2,20E-16	4,500038319
Matrin-3	Matr3	1,05E-14	4,476915843
Elongator complex protein 1	Ikbkap	2,73E-16	4,446808599
	Tardbp	4,40E-58	4,423650077
Prolactin regulatory element-binding protein	Preb	8,30E-18	4,387721112
	Dnajc13	1,18E-17	4,38085184
"RNA-binding protein 4;RNA-binding protein 4B"	"Rbm4;Rbm4b;Rbm14"	4,19E-30	4,307401403
Fatty acid desaturase 2	Fads2	1,11E-16	4,277799806
Eukaryotic translation initiation factor 4E transporter	Eif4enif1	7,20E-25	4,239062037
Probable arginine--tRNA ligase, mitochondrial	Rars2	9,48E-58	4,214856264
Selenocysteine-specific elongation factor	Eefsec	3,27E-48	4,189390734
A-kinase anchor protein 8-like	Akap8l	8,67E-22	4,18232763
28S ribosomal protein S23, mitochondrial	Mrps23	1,34E-19	4,032896334
Cytochrome c1, heme protein, mitochondrial	Cyc1	4,69E-22	4,021722351
Paternally-expressed gene 3 protein	Peg3	2,57E-15	3,96108066
Ataxin-2	Atxn2	1,40E-32	3,905628789
Casein kinase II subunit alpha	Csnk2a2	2,00E-17	3,858201023
Histone deacetylase 2	Hdac2	3,21E-16	3,857657146
Exosome complex exonuclease RRP44	Dis3	3,75E-22	3,84302875
Ribosome biogenesis protein WDR12	Wdr12	6,41E-13	3,778095704
Actin-binding protein anillin	Anln	1,45E-16	3,760294021
Splicing factor 3A subunit 1	Sf3a1	8,14E-12	3,757169485
5-3 exoribonuclease 1	Xrn1	1,82E-19	3,628608416
Coatomer subunit gamma-1	Copg1	3,66E-27	3,626005528
U4/U6 small nuclear ribonucleoprotein Prp31	Prpf31	3,31E-18	3,609393941
"Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Traf2 and NCK-interacting protein kinase"	"Map4k4;Tnik;Mink1"	2,57E-14	3,534311753
Importin subunit alpha-2	Kpna2	4,80E-87	3,515133872
SLIT-ROBO Rho GTPase-activating protein 2	Srgap2	1,93E-16	3,471512695
Mitochondrial import inner membrane translocase subunit TIM50	Timm50	1,14E-48	3,391622211
Poly(rC)-binding protein 3	Pcbp3	3,41E-48	3,359830737
ATP-dependent RNA helicase DDX51	Ddx51	9,57E-28	3,242635328
Pumilio homolog 1	Pum1	1,21E-14	3,069754682
"Tubulin gamma-1 chain;Tubulin gamma-2 chain"	"Tubg1;Tubg2"	7,88E-16	3,025147677
Pericentriolar material 1 protein	Pcm1	5,10E-12	2,702843807
26S proteasome non-ATPase regulatory subunit 11	Psmd11	2,18E-21	2,571578854
26S protease regulatory subunit 10B	Psmc6	4,60E-12	2,497689768
Sodium/potassium-transporting ATPase subunit alpha-1	Atp1a1	2,48E-42	2,392515807
Activating signal cointegrator 1 complex subunit 3	Ascc3	1,50E-11	2,329667234
"Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit alpha;Calcium/calmodulin-dependent protein kinase type II subunit beta"	"Camk2g;Camk2a;Camk2b"	5,38E-23	2,301088128
26S protease regulatory subunit 6A	Psmc3	7,64E-43	2,235144329
"Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like"	"Psma7;Psma8"	1,12E-34	2,134223681
Serine hydroxymethyltransferase	Shmt2	2,88E-25	2,082163468
Protein arginine N-methyltransferase 1	Prmt1	7,27E-15	2,018644158
F-actin-capping protein subunit beta	Capzb	2,37E-15	1,902658891
Ran GTPase-activating protein 1	Rangap1	5,66E-15	1,564563423
"Actin-related protein 3;Actin-related protein 3B"	"Actr3;Actr3b"	1,76E-19	1,497119517
Ran-specific GTPase-activating protein	Ranbp1	8,39E-13	1,343695849
40S ribosomal protein S21	Rps21	5,33E-48	1,314122628
"Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase"	"Aldoa;Aldoart2"	2,15E-22	1,313584636
Phosphoserine phosphatase	Psph	2,66E-15	1,136695841
Dihydropyrimidinase-related protein 2	Dpysl2	2,96E-20	1,114035243
Hypoxanthine-guanine phosphoribosyltransferase	Hprt1	5,68E-14	1,097085174
Peroxiredoxin-6	Prdx6	1,07E-19	1,037591644
Histone deacetylase 6	Hdac6	1,35E-40	1,004218832
Thioredoxin domain-containing protein 5	Txndc5	2,34E-17	0,947639756
"Profilin-2;Profilin"	Pfn2	1,40E-52	0,826028309
Lysophospholipase-like protein 1	Lyplal1	1,01E-63	0,795233249
Protein DJ-1	Park7	1,82E-13	0,767953287
Acyl-protein thioesterase 2	Lypla2	1,28E-16	0,755064243
Peptidyl-prolyl cis-trans isomerase B	Ppib	2,77E-18	-0,306728867
Transcription factor BTF3	Btf3	1,88E-18	6,728235862
60S ribosomal protein L35a	Rpl35a	7,45E-26	6,199825279
60S ribosomal protein L27a	Rpl27a	1,41E-41	6,135427537
60S ribosomal protein L36	Rpl36	3,50E-21	6,089218226
"40S ribosomal protein S27-like;40S ribosomal protein S27"	Rps27l	9,39E-61	6,058605179
60S ribosomal protein L34	Rpl34	2,18E-19	5,996864106
40S ribosomal protein S24	Rps24	3,23E-44	5,985393329
60S ribosomal protein L29	"Gm17669;Rpl29;Gm10709;Gm5218"	3,97E-14	5,881039664
60S acidic ribosomal protein P2	Rplp2	7,75E-171	5,868763496
Very-long-chain enoyl-CoA reductase	Tecr	6,13E-12	5,825005629
Putative RNA-binding protein 3	Rbm3	1,86E-26	5,77975921
Serine/arginine-rich splicing factor 5	Srsf5	2,85E-24	5,381122377
	Dnajc21	4,70E-12	5,359578972
Protein FAM98A	Fam98a	6,16E-40	5,354080732
Casein kinase I isoform epsilon	"Csnk1e;Csnk1d"	2,26E-17	5,338352542
Probable ATP-dependent RNA helicase DDX47	Ddx47	1,77E-22	5,24233494
39S ribosomal protein L12, mitochondrial	Mrpl12	1,36E-18	5,235416048
39S ribosomal protein L16, mitochondrial	Mrpl16	1,23E-11	5,203382312
28S ribosomal protein S26, mitochondrial	Mrps26	5,31E-30	5,13334993
Nuclear fragile X mental retardation-interacting protein 2	Nufip2	3,92E-15	5,061830155
Fragile X mental retardation syndrome-related protein 2	Fxr2	9,97E-11	5,046539559
Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	Suclg1	2,83E-14	5,012425911
DnaJ homolog subfamily B member 11	Dnajb11	2,58E-27	5,001524291
Probable rRNA-processing protein EBP2	Ebna1bp2	1,15E-11	4,94781785
G-protein coupled receptor-associated sorting protein 2	Gprasp2	9,23E-25	4,895867345
Procollagen galactosyltransferase 1	Colgalt1	5,43E-19	4,890380013
Threonylcarbamoyladenosine tRNA methylthiotransferase	Cdkal1	2,68E-29	4,829592898
Probable ATP-dependent RNA helicase DDX27	Ddx27	4,16E-18	4,82631479
Serine/threonine-protein kinase VRK1	Vrk1	8,95E-16	4,81124968
ATP synthase subunit f, mitochondrial	Atp5j2	1,33E-17	4,810358853
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	8,31E-11	4,799711609
Holliday junction recognition protein	Hjurp	3,45E-34	4,786114005
Nuclear RNA export factor 1	Nxf1	4,86E-62	4,784562442
Serrate RNA effector molecule homolog	Srrt	7,37E-15	4,751853821
DNA-directed RNA polymerase I subunit RPA34	Cd3eap	5,38E-10	4,744603205
"Histone H2B type 1-P;Histone H2B type 1-K;Histone H2B type 1-C/E/G;Histone H2B type 2-B;Histone H2B type 1-H;Histone H2B type 1-B;Histone H2B type 1-M;Histone H2B type 1-F/J/L;Histone H2B;Histone H2B type 3-A;Histone H2B type 3-B;Histone H2B type 2-E"	"Hist1h2bp;Hist1h2bk;Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bb;Hist1h2bm;Hist1h2bf;Gm13646;Hist3h2ba;Hist3h2bb;Hist2h2be"	1,06E-15	4,732778243
Bloom syndrome protein homolog	Blm	1,01E-12	4,686535874
Serine/arginine-rich splicing factor 7	Srsf7	1,13E-20	4,660360895
Ribosome biogenesis regulatory protein homolog	Rrs1	4,62E-23	4,653482154
Treacle protein	Tcof1	2,61E-14	4,645732913
Serine/arginine-rich splicing factor 2	Srsf2	3,07E-21	4,573638622
RNA-binding protein FUS	Fus	1,43E-34	4,563778449
La-related protein 4B	Larp4b	6,80E-14	4,562652929
Neuropathy target esterase	Pnpla6	4,23E-14	4,545975756
	Fat1	8,29E-10	4,521514782
Transcriptional activator protein Pur-beta	Purb	3,55E-33	4,497689768
	Bod1l	5,90E-13	4,4273082
Fatty acid desaturase 1	Fads1	2,28E-13	4,348809128
Translocon-associated protein subunit delta	Ssr4	2,88E-16	4,267149063
Transcription initiation factor IIB	Gtf2b	9,45E-12	4,260082788
Serine/threonine-protein kinase PLK1	Plk1	4,99E-10	4,257955835
Protein SCO2 homolog, mitochondrial	Sco2	1,58E-11	4,208547638
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	Aimp2	1,07E-15	4,189417055
Pre-mRNA-processing-splicing factor 8	Prpf8	1,94E-11	4,174308792
Pre-mRNA 3-end-processing factor FIP1	Fip1l1	5,77E-59	4,165350263
28S ribosomal protein S22, mitochondrial	Mrps22	6,02E-23	4,165065542
GPI transamidase component PIG-T	Pigt	1,02E-14	4,156421293
Golgin subfamily A member 2	Golga2	2,11E-11	4,130188592
Pre-mRNA-processing factor 40 homolog A	Prpf40a	8,94E-09	4,109620239
E3 ubiquitin-protein ligase UBR5	Ubr5	6,68E-07	4,094187019
Dystonin	Dst	2,01E-08	4,032447709
39S ribosomal protein L39, mitochondrial	Mrpl39	3,44E-10	4,004184106
Interleukin enhancer-binding factor 3	Ilf3	5,44E-11	4,000738849
Integrin-linked protein kinase	Ilk	3,20E-14	3,997762673
Citron Rho-interacting kinase	Cit	2,04E-11	3,983429515
Casein kinase II subunit alpha	Csnk2a1	5,28E-18	3,96281179
	Kidins220	2,66E-11	3,917766124
E3 ubiquitin-protein ligase RNF213	Rnf213	2,07E-10	3,913846702
	8030474K03Rik	6,58E-18	3,86771008
Centromere-associated protein E	Cenpe	1,70E-09	3,86136375
DNA mismatch repair protein Mlh1	Mlh1	6,00E-14	3,827256483
G kinase-anchoring protein 1	Gkap1	3,65E-17	3,825946468
Eukaryotic translation initiation factor 3 subunit H	Eif3h	2,46E-18	3,786133908
Protein THEM6	Them6	1,40E-10	3,727704427
TBC1 domain family member 4	Tbc1d4	2,95E-15	3,727322221
Casein kinase II subunit beta	Csnk2b	1,34E-18	3,721201624
RNA-binding protein 26	Rbm26	1,96E-17	3,647865234
OTU domain-containing protein 4	Otud4	1,74E-11	3,644704022
	Aimp2	7,80E-21	3,558227585
DNA-directed RNA polymerases I, II, and III subunit RPABC1	Polr2e	8,76E-17	3,546953431
Small nuclear ribonucleoprotein Sm D2	"Snrpd2;Gm5449"	2,03E-13	3,541970838
Prohibitin-2	Phb2	4,23E-11	3,539368558
Methyltransferase-like protein 13	Mettl13	1,55E-14	3,424439818
Ran-binding protein 9	Ranbp9	2,53E-18	3,421237077
Condensin complex subunit 2	Ncaph	3,64E-21	3,421175258
	Pus7	1,56E-13	3,378089264
Mitotic checkpoint protein BUB3	Bub3	5,32E-23	3,283070545
Protein DEK	Dek	6,25E-12	3,237047441
DNA polymerase delta subunit 2	Pold2	4,23E-22	3,207960948
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	Ppp1ca	1,92E-34	3,201708883
Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial	Chchd3	1,78E-11	3,190997225
Eukaryotic translation initiation factor 4B	Eif4b	3,31E-16	2,97380901
Kinetochore protein NDC80 homolog	Ndc80	2,07E-12	2,968040259
Nesprin-2	Syne2	3,38E-10	2,933793676
Importin-4	Ipo4	1,96E-18	2,893678484
ELAV-like protein 3	Elavl3	6,87E-13	2,889075558
Mitochondrial carrier homolog 2	Mtch2	4,36E-12	2,729196
Protein SOGA3	Soga3	6,04E-10	2,707076932
tRNA (cytosine(34)-C(5))-methyltransferase	Nsun2	3,25E-18	2,674751759
Poly(A) RNA polymerase, mitochondrial	Mtpap	1,04E-16	2,663282441
Phosphoribosyl pyrophosphate synthase-associated protein 1	Prpsap1	1,44E-12	2,65762731
Unconventional myosin-XVIIIa	Myo18a	1,99E-08	2,626736002
26S protease regulatory subunit 4	Psmc1	1,97E-17	2,532908369
Kinesin-like protein KIF11	Kif11	7,14E-10	2,491835063
26S proteasome non-ATPase regulatory subunit 2	"Psmd2;Gm5422"	9,80E-12	2,448981167
Ras-related protein Rab-18	Rab18	2,29E-16	2,420047531
Ribosome production factor 2 homolog	Rpf2	9,77E-13	2,36000848
"Ferritin;Ferritin light chain 1;Ferritin light chain 2"	"Ftl1;Ftl2"	2,07E-14	2,296473998
