.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	FOXG1_unique
ENSMUSG00000028218	2280.715609	0.280207018	0.09849354	0.002732089	0.013902168	Fam92a	FOXG1_unique
ENSMUSG00000028221	2650.762079	0.204870819	0.119247956	0.064487125	0.164814915	Tmem55a	FOXG1_unique
ENSMUSG00000028222	1223.68805	0.324815324	0.18110306	0.034095222	0.101877731	Calb1	FOXG1_unique
ENSMUSG00000028223	1241.554003	-0.043624672	0.183579427	0.771276657	0.868757803	Decr1	FOXG1_unique
ENSMUSG00000028226	1260.430815	-0.820311294	0.166740837	1.02614E-07	2.13777E-06	Mmp16	FOXG1_unique
ENSMUSG00000028229	541.5747474	0.048089737	0.119545344	0.669132255	0.799898143	Rmdn1	FOXG1_unique
ENSMUSG00000028232	1471.188748	-0.448536371	0.103540214	5.5404E-06	7.24479E-05	Tmem68	FOXG1_unique
ENSMUSG00000028234	7478.913524	0.102850337	0.079676004	0.192146368	0.357484492	Rps20	FOXG1_unique
ENSMUSG00000028238	5.056775618	0.044507495	0.323724901	0.608016179	0.75304961	Atp6v0d2	FOXG1_unique
ENSMUSG00000028243	1480.645331	-0.107501518	0.108008802	0.285548468	0.465985184	Ubxn2b	FOXG1_unique
ENSMUSG00000028245	1733.126679	-0.123302788	0.089840282	0.154406364	0.306532678	Nsmaf	FOXG1_unique
ENSMUSG00000028246	1902.528567	-0.513934681	0.249491716	0.007467544	0.031346949	Faxc	FOXG1_unique
ENSMUSG00000028247	939.8712551	0.520189309	0.179839996	0.000791867	0.005034156	Coq3	FOXG1_unique
ENSMUSG00000028248	5153.993383	-0.209468105	0.145202339	0.101742918	0.228709577	Pnisr	FOXG1_unique
ENSMUSG00000028249	6145.950187	-0.779558993	0.138017587	2.20552E-09	6.86392E-08	Sdcbp	FOXG1_unique
ENSMUSG00000028252	1791.106038	-0.425643124	0.119857752	0.000141621	0.001173161	Ccnc	FOXG1_unique
ENSMUSG00000028255	14.20959504	-4.411733407	0.932656259	3.18624E-07	5.82244E-06	Clca1	FOXG1_unique
ENSMUSG00000028256	531.814888	-0.048806649	0.139086757	0.69173638	0.815831111	Odf2l	FOXG1_unique
ENSMUSG00000028261	806.605064	0.354649287	0.09599419	0.000108396	0.000934273	Ndufaf4	FOXG1_unique
ENSMUSG00000028264	7.82518605	-0.064425278	0.310315971	0.578389257	0.72998729	Spaca1	FOXG1_unique
ENSMUSG00000028266	7817.279834	-0.597277747	0.124772966	4.16195E-07	7.40476E-06	Lmo4	FOXG1_unique
ENSMUSG00000028268	467.3513842	-0.377176461	0.144017623	0.00382399	0.01829692	Gbp3	FOXG1_unique
ENSMUSG00000028271	1338.194001	0.094596496	0.085850435	0.257757303	0.435721552	Gtf2b	FOXG1_unique
ENSMUSG00000028273	7341.181503	-0.451318292	0.12549207	0.000107799	0.000930522	Pdlim5	FOXG1_unique
ENSMUSG00000028274	1056.853948	-0.274358005	0.096541989	0.003033541	0.015118882	Rngtt	FOXG1_unique
ENSMUSG00000028278	2494.86982	-0.170836812	0.095113991	0.059868729	0.156087708	Rragd	FOXG1_unique
ENSMUSG00000028280	23.27443996	-0.230965515	0.343393	0.186602315	0.350522632	Gabrr1	FOXG1_unique
ENSMUSG00000028282	612.082891	-0.243606966	0.138258319	0.051095726	0.138480097	Casp8ap2	FOXG1_unique
ENSMUSG00000028284	2623.558424	-0.188384253	0.070159508	0.00535779	0.023993808	Map3k7	FOXG1_unique
ENSMUSG00000028287	2.873507821	-0.029663322	0.323183053	0.711779917	.	RP23-143B14.1	FOXG1_unique
ENSMUSG00000028289	1387.452927	-0.561731602	0.212079362	0.001709117	0.009477306	Epha7	FOXG1_unique
ENSMUSG00000028291	2733.805725	0.252339051	0.106373786	0.011860506	0.045277634	Akirin2	FOXG1_unique
ENSMUSG00000028292	1179.331286	0.143567648	0.089335985	0.093120248	0.21503715	Rars2	FOXG1_unique
ENSMUSG00000028293	1676.556813	0.376974218	0.091970953	1.91448E-05	0.000214204	Slc35a1	FOXG1_unique
ENSMUSG00000028295	965.9474638	0.273076579	0.124488377	0.017529612	0.060908024	Smim8	FOXG1_unique
ENSMUSG00000028300	1188.366127	0.720932532	0.186820309	1.49545E-05	0.000171785	RP23-307M2.1	FOXG1_unique
ENSMUSG00000028307	25.70420361	0.080083536	0.312556467	0.513921795	0.677845992	Aldob	FOXG1_unique
ENSMUSG00000028309	3211.57249	0.168025818	0.084261408	0.042644545	0.121006662	Rnf20	FOXG1_unique
ENSMUSG00000028318	612.6230094	0.208308211	0.117641063	0.057065908	0.1508016	Polr1e	FOXG1_unique
ENSMUSG00000028322	526.3101637	0.139913062	0.144805155	0.276342676	0.456523968	Exosc3	FOXG1_unique
ENSMUSG00000028327	26.00466888	-0.145980025	0.298015051	0.369831838	0.551476356	Stra6l	FOXG1_unique
ENSMUSG00000028328	596.3348807	-0.451160374	0.266797828	0.021792281	0.072362877	Tmod1	FOXG1_unique
ENSMUSG00000028329	421.4910266	0.04020579	0.154103188	0.768608793	0.867257211	Xpa	FOXG1_unique
ENSMUSG00000028330	3186.831591	-0.035888665	0.070549952	0.542928789	0.702302627	Ncbp1	FOXG1_unique
ENSMUSG00000028331	149.3534448	0.166080046	0.169963191	0.244110243	0.419621525	Trmo	FOXG1_unique
ENSMUSG00000028333	3733.849471	0.066213467	0.106456738	0.508705793	0.673302072	Anp32b	FOXG1_unique
ENSMUSG00000028334	1877.739971	0.08572593	0.154915919	0.526865557	0.68867389	Nans	FOXG1_unique
ENSMUSG00000028337	1461.456751	-1.068985419	0.19275296	2.66768E-09	8.17645E-08	Coro2a	FOXG1_unique
ENSMUSG00000028339	367.8241952	-2.006692448	0.417496426	2.58157E-08	6.10792E-07	Col15a1	FOXG1_unique
ENSMUSG00000028341	5283.199506	-1.51234137	0.208499485	3.03709E-14	2.43799E-12	Nr4a3	FOXG1_unique
ENSMUSG00000028343	2311.576152	0.023794705	0.104034572	0.810271685	0.893631333	Erp44	FOXG1_unique
ENSMUSG00000028344	513.7225971	-0.635912481	0.202354219	0.000266539	0.001983013	Invs	FOXG1_unique
ENSMUSG00000028345	1093.670198	-0.067791973	0.14095986	0.58347497	0.734161546	Tex10	FOXG1_unique
ENSMUSG00000028347	5836.225576	0.168696855	0.151763876	0.201896124	0.369239373	Tmeff1	FOXG1_unique
ENSMUSG00000028348	39.14977868	-0.002092438	0.23559241	0.988340502	0.993830303	Murc	FOXG1_unique
ENSMUSG00000028351	2381.936717	-0.613017947	0.206472197	0.000539287	0.003631573	Brinp1	FOXG1_unique
ENSMUSG00000028354	1832.306484	-0.228987741	0.072037299	0.001366787	0.007882444	Fmn2	FOXG1_unique
ENSMUSG00000028358	201.9161263	-0.309160576	0.181788738	0.044536537	0.125059636	Zfp618	FOXG1_unique
ENSMUSG00000028360	1524.254786	0.616612901	0.103947921	6.63787E-10	2.29927E-08	Slc44a5	FOXG1_unique
ENSMUSG00000028362	4.539208833	-0.002792317	0.317121427	0.966523428	.	Tnfsf8	FOXG1_unique
ENSMUSG00000028364	9356.570107	-1.095849418	0.166952327	4.53699E-12	2.44092E-10	Tnc	FOXG1_unique
ENSMUSG00000028367	7821.210427	-0.197259737	0.13382295	0.105425157	0.234511272	Txn1	FOXG1_unique
ENSMUSG00000028369	280.1254351	0.790764608	0.322876711	0.001494137	0.008494913	Svep1	FOXG1_unique
ENSMUSG00000028370	269.5255372	-1.218472095	0.319232354	9.55477E-06	0.000116296	Pappa	FOXG1_unique
ENSMUSG00000028373	1356.354982	0.49003526	0.174314761	0.00124279	0.007263913	Astn2	FOXG1_unique
ENSMUSG00000028381	2962.592979	-0.593606065	0.106485426	6.1876E-09	1.72647E-07	Ugcg	FOXG1_unique
ENSMUSG00000028382	830.6536356	0.249096345	0.157263096	0.068843063	0.172632494	Ptbp3	FOXG1_unique
ENSMUSG00000028383	1887.422439	-0.246381684	0.167750508	0.088310428	0.207297563	Hsdl2	FOXG1_unique
ENSMUSG00000028385	3518.254372	-0.673400836	0.177152004	2.4323E-05	0.000261579	Snx30	FOXG1_unique
ENSMUSG00000028389	594.8514006	-0.800328844	0.125922343	2.91395E-11	1.3458E-09	Zfp37	FOXG1_unique
ENSMUSG00000028391	310.9831393	0.630624296	0.177663045	7.13499E-05	0.000655764	Wdr31	FOXG1_unique
ENSMUSG00000028392	32.91208237	0.376637583	0.472904872	0.051908432	0.140156924	Bspry	FOXG1_unique
ENSMUSG00000028393	1335.671375	0.493817838	0.124895692	2.27267E-05	0.000247304	Alad	FOXG1_unique
ENSMUSG00000028394	1378.650172	1.234708157	0.164544545	4.59349E-15	4.28211E-13	Pole3	FOXG1_unique
ENSMUSG00000028397	1059.463254	-0.198055507	0.090476403	0.022318145	0.073734077	Kdm4c	FOXG1_unique
ENSMUSG00000028398	1419.937933	0.186979332	0.09223019	0.032786638	0.098873121	Tmem261	FOXG1_unique
ENSMUSG00000028399	6201.201154	-0.460825249	0.170523477	0.001971648	0.010644375	Ptprd	FOXG1_unique
ENSMUSG00000028402	2721.074972	-0.026268092	0.100196328	0.819105894	0.89855918	Mpdz	FOXG1_unique
ENSMUSG00000028403	2159.573527	-0.135442357	0.12968965	0.25494319	0.432836407	Zdhhc21	FOXG1_unique
ENSMUSG00000028405	2787.767501	-0.221976345	0.09327824	0.012730435	0.047733821	Aco1	FOXG1_unique
ENSMUSG00000028407	247.69456	-0.199397448	0.210241043	0.224897712	0.396811136	Toporsos	FOXG1_unique
ENSMUSG00000028409	3115.389522	0.220531571	0.089598215	0.010016838	0.039576292	Smu1	FOXG1_unique
ENSMUSG00000028410	11629.80378	-0.029527937	0.065857538	0.65324389	0.787757918	Dnaja1	FOXG1_unique
ENSMUSG00000028411	1229.501268	1.207389482	0.135166638	3.01447E-20	6.92952E-18	Aptx	FOXG1_unique
ENSMUSG00000028412	2604.048036	-0.552119172	0.185890539	0.000609563	0.004016564	Slc44a1	FOXG1_unique
ENSMUSG00000028413	1490.895221	-0.217051267	0.115478077	0.044340774	0.124596405	B4galt1	FOXG1_unique
ENSMUSG00000028414	1865.761636	0.398946405	0.179995061	0.009303066	0.037273985	Fktn	FOXG1_unique
ENSMUSG00000028419	5079.898549	0.182769184	0.101117944	0.064861409	0.165416219	Chmp5	FOXG1_unique
ENSMUSG00000028420	347.4306461	-0.060661369	0.167847855	0.671148993	0.801172724	Tmem38b	FOXG1_unique
ENSMUSG00000028423	3862.09146	0.05215624	0.077453638	0.488496085	0.65677172	Nfx1	FOXG1_unique
ENSMUSG00000028426	11231.26999	-0.428747804	0.055599577	1.28383E-15	1.3183E-13	Rad23b	FOXG1_unique
ENSMUSG00000028430	4927.355254	-0.358280232	0.114556994	0.000836227	0.005246826	Nol6	FOXG1_unique
ENSMUSG00000028431	4676.159711	0.009839754	0.125346877	0.969907552	0.984162313	Ikbkap	FOXG1_unique
ENSMUSG00000028433	4303.682258	-0.013284689	0.122124302	0.889736892	0.939868804	Ubap2	FOXG1_unique
ENSMUSG00000028434	825.8940506	0.253046786	0.139067231	0.043612512	0.123217529	Epb41l4b	FOXG1_unique
ENSMUSG00000028438	108.8573985	-0.394956403	0.244686263	0.033811236	0.101205214	Kif24	FOXG1_unique
ENSMUSG00000028439	9282.655139	-0.10398485	0.137946193	0.383676025	0.564727815	Fam219a	FOXG1_unique
ENSMUSG00000028441	301.3090885	0.696864064	0.318067644	0.003217283	0.015850564	RP23-100C7.3	FOXG1_unique
ENSMUSG00000028444	2339.492166	-0.335683379	0.139114666	0.008509032	0.034745501	Cntfr	FOXG1_unique
ENSMUSG00000028451	13.62852239	-0.122991229	0.318735461	0.363003763	0.544828841	RP23-124L1.4	FOXG1_unique
ENSMUSG00000028452	22096.02543	-0.464326845	0.124054558	6.01074E-05	0.000567124	Vcp	FOXG1_unique
ENSMUSG00000028453	508.6947309	-0.391074893	0.122912283	0.000618327	0.004059766	Fancg	FOXG1_unique
ENSMUSG00000028455	2204.310134	0.157775264	0.093744556	0.080972889	0.194536886	Stoml2	FOXG1_unique
ENSMUSG00000028456	2424.999786	-0.444166039	0.175673069	0.003673558	0.017710295	Unc13b	FOXG1_unique
ENSMUSG00000028458	3958.630944	0.07504071	0.113256194	0.48503056	0.653960246	Tesk1	FOXG1_unique
ENSMUSG00000028459	21.35794346	-0.350557586	0.506051215	0.057017069	0.150711916	Cd72	FOXG1_unique
ENSMUSG00000028461	1335.243829	0.285696654	0.099874655	0.002804893	0.014195692	Ccdc107	FOXG1_unique
ENSMUSG00000028465	4840.281838	-0.073474164	0.08193979	0.355988315	0.538017797	Tln1	FOXG1_unique
ENSMUSG00000028467	2146.018652	-0.225613298	0.130626965	0.06089976	0.158094525	Gba2	FOXG1_unique
ENSMUSG00000028469	2851.764107	0.068004134	0.127280327	0.560500537	0.716031914	Npr2	FOXG1_unique
ENSMUSG00000028470	968.6947752	0.128965948	0.141138876	0.309869868	0.492093969	Hint2	FOXG1_unique
ENSMUSG00000028475	40.48113814	-0.404022416	0.583240828	0.040735563	0.116818786	RP23-430M12.2	FOXG1_unique
ENSMUSG00000028479	2100.660588	-0.082541182	0.079815525	0.273636795	0.453535332	Gne	FOXG1_unique
ENSMUSG00000028480	1455.85692	0.34539285	0.171698564	0.020068374	0.067875462	Glipr2	FOXG1_unique
ENSMUSG00000028483	929.9221181	-0.272067473	0.117115209	0.012393529	0.046755533	Snapc3	FOXG1_unique
ENSMUSG00000028484	7610.806494	-0.212720861	0.069753697	0.001775836	0.009783059	Psip1	FOXG1_unique
ENSMUSG00000028487	32.76123588	-0.042036454	0.305889357	0.704622177	0.825207088	Bnc2	FOXG1_unique
ENSMUSG00000028488	7340.625491	-0.351723599	0.242525828	0.054399237	0.145407263	Sh3gl2	FOXG1_unique
ENSMUSG00000028495	7080.99315	0.098034026	0.070907249	0.148562467	0.297757867	Rps6	FOXG1_unique
ENSMUSG00000028496	2647.061258	-0.013089492	0.112853121	0.921375613	0.95724448	Mllt3	FOXG1_unique
ENSMUSG00000028497	2167.11306	-0.480330908	0.209012767	0.005526578	0.02455954	Hacd4	FOXG1_unique
ENSMUSG00000028514	5313.006731	-0.152223416	0.152301423	0.254898488	0.432803572	Usp24	FOXG1_unique
ENSMUSG00000028517	7622.704123	-0.270176078	0.201957064	0.095819386	0.219367402	Plpp3	FOXG1_unique
ENSMUSG00000028518	1642.409586	0.768663209	0.290579839	0.000717388	0.004627565	Prkaa2	FOXG1_unique
ENSMUSG00000028519	2718.484667	-0.544051621	0.111086644	2.55453E-07	4.82499E-06	Dab1	FOXG1_unique
ENSMUSG00000028521	927.0612213	0.319954445	0.121714176	0.004612591	0.021254692	Slc35d1	FOXG1_unique
ENSMUSG00000028522	1265.335974	-0.137092383	0.10045012	0.150384792	0.300477322	Mier1	FOXG1_unique
ENSMUSG00000028524	5623.422218	0.074910364	0.202718788	0.641248117	0.778806926	Sgip1	FOXG1_unique
ENSMUSG00000028525	1822.432014	-1.21707666	0.142535682	1.3262E-18	2.27353E-16	Pde4b	FOXG1_unique
ENSMUSG00000028527	2450.864374	-0.212752677	0.136001867	0.083269213	0.19882454	Ak4	FOXG1_unique
ENSMUSG00000028528	8671.60916	-0.267963278	0.197003793	0.094133448	0.216758738	Dnajc6	FOXG1_unique
ENSMUSG00000028530	8212.742706	-0.336930499	0.098767657	0.000281586	0.002075878	Jak1	FOXG1_unique
ENSMUSG00000028532	3484.432749	-0.191593889	0.141535167	0.119487077	0.256076287	Cachd1	FOXG1_unique
ENSMUSG00000028538	2023.369566	-0.254342566	0.109444264	0.013297076	0.049319133	St3gal3	FOXG1_unique
ENSMUSG00000028539	31.78922582	-0.170117128	0.289125287	0.313351341	0.495970657	Artn	FOXG1_unique
ENSMUSG00000028540	602.4999203	0.106555088	0.169873165	0.462747235	0.634833966	Dph2	FOXG1_unique
ENSMUSG00000028542	1826.766249	0.79489423	0.208440301	1.62522E-05	0.000185116	Slc6a9	FOXG1_unique
ENSMUSG00000028545	222.9728043	0.566995857	0.240778141	0.003482105	0.016920369	Bend5	FOXG1_unique
ENSMUSG00000028546	3180.309637	0.334437207	0.196108197	0.039010885	0.112893559	Elavl4	FOXG1_unique
ENSMUSG00000028549	311.0813331	-0.022915033	0.182192712	0.880516411	0.934569835	Itgb3bp	FOXG1_unique
ENSMUSG00000028550	811.1368386	0.278903323	0.156509239	0.042495373	0.120651074	Atg4c	FOXG1_unique
ENSMUSG00000028551	400.10781	-0.124160828	0.178811553	0.415717753	0.595282397	Cdkn2c	FOXG1_unique
ENSMUSG00000028552	11543.19084	0.160599768	0.156727582	0.240782564	0.415908223	Eps15	FOXG1_unique
ENSMUSG00000028556	3516.0939	-0.169557638	0.119512054	0.12562102	0.265459347	Dock7	FOXG1_unique
ENSMUSG00000028557	6432.446301	0.418089286	0.16466773	0.003625101	0.017514253	Rnf11	FOXG1_unique
ENSMUSG00000028558	40.74685616	0.031747734	0.22114702	0.847761694	0.916343644	Calr4	FOXG1_unique
ENSMUSG00000028559	2388.44957	0.117915781	0.084476113	0.148712352	0.297969171	Osbpl9	FOXG1_unique
ENSMUSG00000028560	871.0344637	-0.01777656	0.091816964	0.854715177	0.920585314	Usp1	FOXG1_unique
ENSMUSG00000028563	1247.354817	0.096182842	0.089233125	0.2625147	0.441137222	Tm2d1	FOXG1_unique
ENSMUSG00000028565	5672.864274	0.84667445	0.139676937	1.33744E-10	5.41102E-09	Nfia	FOXG1_unique
ENSMUSG00000028567	2156.936701	0.096483359	0.104787439	0.330880868	0.513532997	Txndc12	FOXG1_unique
ENSMUSG00000028568	2111.520032	0.181839104	0.093190839	0.041549219	0.118597311	Btf3l4	FOXG1_unique
ENSMUSG00000028573	500.2820748	0.561986083	0.196179775	0.000905542	0.00558482	Fggy	FOXG1_unique
ENSMUSG00000028576	1272.635411	0.069084942	0.164962906	0.628473951	0.769004858	Ift74	FOXG1_unique
ENSMUSG00000028577	3893.07847	-0.335560247	0.089160831	8.93107E-05	0.000789282	Plaa	FOXG1_unique
ENSMUSG00000028580	4394.520428	0.00176435	0.119791149	0.980250102	0.989916998	Pum1	FOXG1_unique
ENSMUSG00000028582	1514.158853	-0.035883096	0.089360323	0.67499248	0.803958012	Cc2d1b	FOXG1_unique
ENSMUSG00000028583	9751.180846	-0.248041498	0.262358892	0.166453327	0.323549952	Pdpn	FOXG1_unique
ENSMUSG00000028600	1821.863441	-1.251110445	0.325579491	3.79101E-06	5.25263E-05	Podn	FOXG1_unique
ENSMUSG00000028602	84.23041492	-3.135302862	0.750746575	1.19227E-07	2.43867E-06	Tnfrsf8	FOXG1_unique
ENSMUSG00000028603	4462.421338	-0.205009942	0.161294801	0.141772954	0.288233677	Scp2	FOXG1_unique
ENSMUSG00000028607	740.7102514	0.09250156	0.16585292	0.518481198	0.681373316	Cpt2	FOXG1_unique
ENSMUSG00000028608	2098.667731	-0.230763961	0.112954671	0.028158645	0.088081218	RP23-40G2.3	FOXG1_unique
ENSMUSG00000028609	1107.081035	0.228472313	0.110997667	0.028472039	0.0888241	Magoh	FOXG1_unique
ENSMUSG00000028613	5431.512002	-0.400134176	0.12492243	0.000565796	0.003787048	Lrp8	FOXG1_unique
ENSMUSG00000028614	1194.864341	-0.330857586	0.098651619	0.000434454	0.003020125	Ndc1	FOXG1_unique
ENSMUSG00000028618	11387.55161	0.134125989	0.117249094	0.220440738	0.392075717	Tmem59	FOXG1_unique
ENSMUSG00000028619	1306.080398	0.350097929	0.110806106	0.000766085	0.004885602	Tceanc2	FOXG1_unique
ENSMUSG00000028621	364.1286476	-0.177882339	0.19578981	0.257270463	0.435176438	Cyb5rl	FOXG1_unique
ENSMUSG00000028626	79.00966819	-0.312497206	0.248990985	0.089469429	0.209258536	Col9a2	FOXG1_unique
ENSMUSG00000028630	2756.668762	-0.066902611	0.122320637	0.5619879	0.717569477	Dyrk2	FOXG1_unique
ENSMUSG00000028633	4608.340008	-0.482247616	0.108671098	2.88465E-06	4.14148E-05	Ctps	FOXG1_unique
ENSMUSG00000028634	1197.27771	-0.683297397	0.180687823	2.48814E-05	0.000266875	Hivep3	FOXG1_unique
ENSMUSG00000028636	427.1111495	0.219131425	0.136531246	0.077459098	0.188196025	Ppcs	FOXG1_unique
ENSMUSG00000028637	731.7126361	-0.018314408	0.172458813	0.899652754	0.944765181	Ccdc30	FOXG1_unique
ENSMUSG00000028640	139.6322101	0.079801907	0.209608195	0.621948138	0.764129298	Tfap2c	FOXG1_unique
ENSMUSG00000028641	1515.061138	-0.020162659	0.093668954	0.81740854	0.89739006	P3h1	FOXG1_unique
ENSMUSG00000028644	26.95648989	-0.789417089	0.394064276	0.004385544	0.020389606	Ermap	FOXG1_unique
ENSMUSG00000028645	1930.969839	-0.068952276	0.118852426	0.531591534	0.6926612	Slc2a1	FOXG1_unique
ENSMUSG00000028647	598.7283503	0.29025916	0.146137017	0.026609418	0.084383432	Mycbp	FOXG1_unique
ENSMUSG00000028648	2176.628222	0.514478603	0.106614228	4.08944E-07	7.30143E-06	Ndufs5	FOXG1_unique
ENSMUSG00000028649	18310.82479	-0.047793685	0.193361855	0.761403019	0.862720049	Macf1	FOXG1_unique
ENSMUSG00000028651	818.4595664	0.199057734	0.110277853	0.054327679	0.145235181	Ppie	FOXG1_unique
ENSMUSG00000028653	753.2081923	0.02528498	0.106448418	0.822730017	0.900693014	Trit1	FOXG1_unique
ENSMUSG00000028654	1372.926297	-0.118739034	0.107941183	0.242671676	0.418143554	Mycl	FOXG1_unique
ENSMUSG00000028655	1252.002842	-1.056926597	0.300365823	2.14642E-05	0.000235722	Mfsd2a	FOXG1_unique
ENSMUSG00000028656	11460.62622	-0.165451488	0.088950164	0.061696343	0.159679544	Cap1	FOXG1_unique
ENSMUSG00000028657	4632.686861	0.018899867	0.133582236	0.878072417	0.933487089	Ppt1	FOXG1_unique
ENSMUSG00000028664	4997.557815	-0.502796845	0.146899375	0.000185218	0.001470946	Ephb2	FOXG1_unique
ENSMUSG00000028668	2239.82748	-0.165529754	0.070288899	0.014841093	0.053745159	Eloa	FOXG1_unique
ENSMUSG00000028669	2949.655117	0.023033982	0.111302068	0.815230896	0.896071821	Pithd1	FOXG1_unique
ENSMUSG00000028671	565.4450883	-0.194636014	0.109809462	0.059838069	0.156027879	Gale	FOXG1_unique
ENSMUSG00000028672	1327.282459	0.199148089	0.092104846	0.023890761	0.077848938	Hmgcl	FOXG1_unique
ENSMUSG00000028673	6128.863999	-0.150415929	0.095369077	0.098129147	0.222996377	Fuca1	FOXG1_unique
ENSMUSG00000028675	3526.555314	-0.104007747	0.170894816	0.476679777	0.646513926	Pnrc2	FOXG1_unique
ENSMUSG00000028676	4035.714291	-0.007361004	0.135994118	0.963006565	0.980306955	Srsf10	FOXG1_unique
ENSMUSG00000028677	2988.715606	0.056249747	0.112192904	0.590900999	0.739412119	Rnf220	FOXG1_unique
ENSMUSG00000028678	227.1851262	-0.349954454	0.348450658	0.075788057	0.184964144	Kif2c	FOXG1_unique
ENSMUSG00000028680	872.2723306	-0.362761114	0.169071949	0.014208926	0.051920588	Plk3	FOXG1_unique
ENSMUSG00000028681	100.0494216	-1.06941706	0.224996439	1.82767E-07	3.555E-06	Ptch2	FOXG1_unique
ENSMUSG00000028683	902.4260105	0.182362903	0.08354269	0.023772181	0.077575003	Eif2b3	FOXG1_unique
ENSMUSG00000028689	195.2352857	0.221119565	0.151939377	0.100991783	0.227533898	Ccdc163	FOXG1_unique
ENSMUSG00000028691	18943.47943	-0.12713804	0.160167455	0.357390782	0.539566992	Prdx1	FOXG1_unique
ENSMUSG00000028692	20688.77763	-0.339446876	0.090250149	8.97355E-05	0.00079269	Akr1a1	FOXG1_unique
ENSMUSG00000028693	3280.104397	0.04341021	0.114569021	0.686600454	0.812133134	Nasp	FOXG1_unique
ENSMUSG00000028696	565.2982089	-0.070369577	0.102042014	0.474390388	0.644977982	Ipp	FOXG1_unique
ENSMUSG00000028698	4441.185426	-0.474175963	0.102876244	1.31998E-06	2.07635E-05	Pik3r3	FOXG1_unique
ENSMUSG00000028700	3938.170408	0.085503509	0.073799792	0.233442196	0.407275508	Pomgnt1	FOXG1_unique
ENSMUSG00000028701	673.6682183	0.510596997	0.23675679	0.006736307	0.028876617	Lurap1	FOXG1_unique
ENSMUSG00000028703	3318.434936	0.128383663	0.092760985	0.150044756	0.299994705	Lrrc41	FOXG1_unique
ENSMUSG00000028706	530.3767084	-0.514777245	0.143897306	9.08034E-05	0.000800376	Nsun4	FOXG1_unique
ENSMUSG00000028707	5.294677101	-0.144891208	0.356520737	0.163026515	0.318695725	Dmbx1	FOXG1_unique
ENSMUSG00000028708	1179.458957	0.209029337	0.113964401	0.04964348	0.135542983	Mknk1	FOXG1_unique
ENSMUSG00000028709	241.4586204	-0.353075988	0.153887369	0.009953749	0.039365472	Mob3c	FOXG1_unique
ENSMUSG00000028710	762.4602295	0.321678571	0.123208294	0.004831155	0.022041973	Atpaf1	FOXG1_unique
ENSMUSG00000028717	138.1102058	-2.459565939	0.228021144	3.10058E-28	1.79205E-25	Tal1	FOXG1_unique
ENSMUSG00000028719	4922.028637	-0.054506187	0.10330417	0.615583036	0.759399271	Cmpk1	FOXG1_unique
ENSMUSG00000028729	2220.248046	0.167436914	0.081955254	0.034169211	0.10205359	Ebna1bp2	FOXG1_unique
ENSMUSG00000028736	7.425840492	-0.12525399	0.345260895	0.216479991	0.387606102	Pax7	FOXG1_unique
ENSMUSG00000028738	2.91383657	0.043891793	0.327742183	0.339167507	.	Tas1r2	FOXG1_unique
ENSMUSG00000028741	1246.607101	0.288394436	0.114360539	0.006996329	0.029795526	Mrto4	FOXG1_unique
ENSMUSG00000028744	474.8529282	-0.32056631	0.152770658	0.018002608	0.062198935	Pqlc2	FOXG1_unique
ENSMUSG00000028745	14185.48453	0.181802231	0.10068546	0.056998629	0.150682862	Capzb	FOXG1_unique
ENSMUSG00000028747	230.4057824	-1.571897543	0.259558926	7.94894E-11	3.34998E-09	Htr6	FOXG1_unique
ENSMUSG00000028750	20.09445565	0.483239117	0.522802679	0.040895113	0.117143478	Pla2g2c	FOXG1_unique
ENSMUSG00000028753	323.9617122	0.428817565	0.229049159	0.01798018	0.062142673	Vwa5b1	FOXG1_unique
ENSMUSG00000028755	47.91922023	0.011751468	0.283349156	0.936981774	0.96525945	Cda	FOXG1_unique
ENSMUSG00000028756	8799.214852	0.154487877	0.137554627	0.222304889	0.393990327	Pink1	FOXG1_unique
ENSMUSG00000028757	7942.502065	-0.61236024	0.160350548	2.40467E-05	0.000259435	Ddost	FOXG1_unique
ENSMUSG00000028758	406.5264397	0.301101686	0.256879619	0.105525674	0.234683252	Kif17	FOXG1_unique
ENSMUSG00000028759	8716.323859	0.258496892	0.108328633	0.011152786	0.043096409	Hp1bp3	FOXG1_unique
ENSMUSG00000028760	9956.786635	-0.336067612	0.104247075	0.000731471	0.00469893	Eif4g3	FOXG1_unique
ENSMUSG00000028766	542.4705625	0.068601553	0.294436283	0.634474659	0.773622008	Alpl	FOXG1_unique
ENSMUSG00000028771	2323.146455	-0.063977066	0.111875367	0.528990456	0.690446179	Ptpn12	FOXG1_unique
ENSMUSG00000028772	3028.148018	0.150432026	0.079338586	0.050369291	0.137062199	Zcchc17	FOXG1_unique
ENSMUSG00000028773	1418.59621	-0.066561108	0.203403592	0.673363115	0.803010225	Fabp3	FOXG1_unique
ENSMUSG00000028776	1405.887453	0.069077182	0.177459671	0.645662202	0.78224236	Tinagl1	FOXG1_unique
ENSMUSG00000028779	2403.151182	-0.055392839	0.082120527	0.485127793	0.653960246	Pef1	FOXG1_unique
ENSMUSG00000028780	4103.97452	-0.080350335	0.194767434	0.602258677	0.748439045	Sema3c	FOXG1_unique
ENSMUSG00000028782	10330.7154	-0.588392019	0.108507544	1.37448E-08	3.49741E-07	Adgrb2	FOXG1_unique
