.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	DIV11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	FOXG1_unique
ENSMUSG00000025352	1675.197048	-0.282643023	0.134419888	0.025062989	0.080835332	Gdf11	chr10	128871969	128872230	DIV11	Intron (ENSMUST00000105230/ENSMUSG00000078427, intron 9 of 10)	10	128882295	128891718	9424	2	ENSMUST00000026408	19488	ENSMUSG00000025352	FOXG1_unique
ENSMUSG00000025353	552.0930579	-0.151331449	0.187128649	0.323671373	0.506580132	Ormdl2	chr10	128821254	128822108	DIV11	Promoter (<=1kb)	10	128817457	128821631	4175	2	ENSMUST00000026409	0	ENSMUSG00000025353	FOXG1_unique
ENSMUSG00000025357	294.9144856	-0.498020878	0.188087338	0.002189405	0.011606255	Dgka	chr10	128744613	128744814	DIV11	Promoter (<=1kb)	10	128720141	128744056	23916	2	ENSMUST00000026414	-558	ENSMUSG00000025357	FOXG1_unique
ENSMUSG00000025362	7884.691566	-0.045849027	0.095818778	0.621449085	0.763655299	Rps26	chr10	128611946	128612393	DIV11	Distal Intergenic	10	128624530	128626506	1977	2	ENSMUST00000026420	14113	ENSMUSG00000025362	FOXG1_unique
ENSMUSG00000025366	431.1784528	-0.756550454	0.298386162	0.001032233	0.006246197	Esyt1	chr10	128526005	128526317	DIV11	Promoter (<=1kb)	10	128510248	128525859	15612	2	ENSMUST00000026427	-147	ENSMUSG00000025366	FOXG1_unique
ENSMUSG00000025369	9450.090423	0.275020346	0.114438692	0.010277526	0.040369721	Smarcc2	chr10	128458444	128459084	DIV11	Promoter (<=1kb)	10	128459236	128490173	30938	1	ENSMUST00000026433	-152	ENSMUSG00000025369	FOXG1_unique
ENSMUSG00000025370	395.122216	-1.41143386	0.387680244	1.46782E-05	0.000168803	Cdh9	chr15	16434790	16435021	DIV11	Distal Intergenic	15	16778101	16857094	78994	1	ENSMUST00000026432	-343080	ENSMUSG00000025370	FOXG1_unique
ENSMUSG00000025371	1386.041878	0.369087839	0.093856948	4.00224E-05	0.0004006	Chmp6	chr11	119913568	119913846	DIV11	Promoter (<=1kb)	11	119913810	119919548	5739	1	ENSMUST00000026434	0	ENSMUSG00000025371	FOXG1_unique
ENSMUSG00000025372	3089.472871	-0.185479685	0.117885533	0.094980053	0.218106989	Baiap2	chr11	119945266	119945585	DIV11	Promoter (1-2kb)	11	119943472	119981419	37948	1	ENSMUST00000146566	1795	ENSMUSG00000025372	FOXG1_unique
ENSMUSG00000025373	4613.960728	0.10585449	0.127436325	0.375924017	0.557805834	Rnf41	chr10	128411326	128411889	DIV11	Promoter (<=1kb)	10	128411616	128441438	29823	1	ENSMUST00000096386	0	ENSMUSG00000025373	FOXG1_unique
ENSMUSG00000025375	5814.421178	-0.4703254	0.154129037	0.000713857	0.004607728	Aatk	chr11	120019977	120020241	DIV11	Promoter (<=1kb)	11	120016738	120020168	3431	2	ENSMUST00000134319	0	ENSMUSG00000025375	FOXG1_unique
ENSMUSG00000025393	54777.95688	0.025269491	0.071865993	0.796040166	0.885125956	Atp5b	chr10	128082537	128083550	DIV11	Promoter (<=1kb)	10	128083273	128090391	7119	1	ENSMUST00000026459	0	ENSMUSG00000025393	FOXG1_unique
ENSMUSG00000025401	20.77276353	-0.329583372	0.372837544	0.099745819	0.225674775	Myo1a	chr10	127694587	127694771	DIV11	3' UTR	10	127705170	127720887	15718	1	ENSMUST00000079590	-10399	ENSMUSG00000025401	FOXG1_unique
ENSMUSG00000025404	4994.67121	0.243286609	0.156674761	0.076134703	0.185663452	R3hdm2	chr10	127379899	127380344	DIV11	Promoter (<=1kb)	10	127380327	127444391	64065	1	ENSMUST00000170164	0	ENSMUSG00000025404	FOXG1_unique
ENSMUSG00000025408	894.5553581	0.609954294	0.128405223	4.17953E-07	7.42297E-06	Ddit3	chr10	127290620	127291581	DIV11	Promoter (<=1kb)	10	127290774	127296288	5515	1	ENSMUST00000026475	0	ENSMUSG00000025408	FOXG1_unique
ENSMUSG00000025409	1304.197904	-0.270420306	0.139947585	0.029920817	0.092374819	Mbd6	chr10	127279859	127280146	DIV11	Intron (ENSMUST00000026479/ENSMUSG00000025410, intron 13 of 13)	10	127281956	127283668	1713	2	ENSMUST00000136169	3522	ENSMUSG00000025409	FOXG1_unique
ENSMUSG00000025410	13428.01688	0.042992144	0.067969232	0.513044675	0.677042255	Dctn2	chr10	127266288	127266580	DIV11	Promoter (<=1kb)	10	127266262	127281959	15698	1	ENSMUST00000026479	27	ENSMUSG00000025410	FOXG1_unique
ENSMUSG00000025417	2292.96167	0.215197985	0.095366191	0.018008047	0.062202026	Pip4k2c	chr10	127224066	127224312	DIV11	Downstream (1-2kb)	10	127197067	127211622	14556	2	ENSMUST00000013970	-12445	ENSMUSG00000025417	FOXG1_unique
ENSMUSG00000025420	540.7083839	0.174578819	0.203012452	0.279666311	0.460089782	Katnal2	chr18	76977256	76977447	DIV11	5' UTR	18	76978461	77006872	28412	2	ENSMUST00000154053	29425	ENSMUSG00000025420	FOXG1_unique
ENSMUSG00000025421	2423.497939	0.054542444	0.077907611	0.475132478	0.645372847	Hdhd2	chr18	76943984	76944459	DIV11	Promoter (<=1kb)	18	76944115	76962053	17939	1	ENSMUST00000097521	0	ENSMUSG00000025421	FOXG1_unique
ENSMUSG00000025422	14906.83346	-0.736480399	0.203396375	4.10872E-05	0.000410041	Agap2	chr10	127078519	127078789	DIV11	Promoter (<=1kb)	10	127078907	127093169	14263	1	ENSMUST00000039259	-118	ENSMUSG00000025422	FOXG1_unique
ENSMUSG00000025423	2246.427097	0.08478735	0.105541203	0.405212702	0.585461592	Pias2	chr18	77064829	77065116	DIV11	Promoter (<=1kb)	18	77065208	77155708	90501	1	ENSMUST00000114777	-92	ENSMUSG00000025423	FOXG1_unique
ENSMUSG00000025425	594.8415953	-0.3201872	0.248786347	0.080441452	0.193628051	St8sia5	chr18	77182264	77182541	DIV11	Downstream (2-3kb)	18	77185853	77255450	69598	1	ENSMUST00000079618	-3312	ENSMUSG00000025425	FOXG1_unique
ENSMUSG00000025427	2261.415988	0.814979125	0.206665558	8.66894E-06	0.000106995	Rnf165	chr18	77560437	77561018	DIV11	Intron (ENSMUST00000026494/ENSMUSG00000025427, intron 1 of 7)	18	77456113	77565136	109024	2	ENSMUST00000026494	4118	ENSMUSG00000025427	FOXG1_unique
ENSMUSG00000025428	35089.8331	0.067741286	0.077022064	0.365995872	0.547451234	Atp5a1	chr18	77773445	77774183	DIV11	Promoter (<=1kb)	18	77773729	77782869	9141	1	ENSMUST00000026495	0	ENSMUSG00000025428	FOXG1_unique
ENSMUSG00000025429	74.20203288	-0.975249065	0.307268591	0.000121293	0.001026739	Pstpip2	chr18	77791832	77792133	DIV11	Promoter (2-3kb)	18	77794545	77882007	87463	1	ENSMUST00000114741	-2412	ENSMUSG00000025429	FOXG1_unique
ENSMUSG00000025431	20.58901767	-0.042909274	0.332666135	0.015612933	0.055709507	Crisp1	chr17	40319122	40319379	DIV11	Promoter (<=1kb)	17	40293758	40319207	25450	2	ENSMUST00000026498	0	ENSMUSG00000025431	FOXG1_unique
ENSMUSG00000025436	297.933299	-0.167398927	0.208985518	0.30744104	0.489402031	Xrcc6bp1	chr10	126900704	126900888	DIV11	Promoter (<=1kb)	10	126868430	126901371	32942	2	ENSMUST00000026504	483	ENSMUSG00000025436	FOXG1_unique
ENSMUSG00000025437	4403.451152	-0.238484383	0.086089303	0.003970944	0.01886968	Usp33	chr3	152346274	152346472	DIV11	Promoter (<=1kb)	3	152346478	152393612	47135	1	ENSMUST00000026507	-6	ENSMUSG00000025437	FOXG1_unique
ENSMUSG00000025439	2758.235873	-0.01453602	0.087435881	0.873337154	0.931004284	Clns1a	chr7	97696533	97696995	DIV11	Promoter (<=1kb)	7	97696634	97718879	22246	1	ENSMUST00000026506	0	ENSMUSG00000025439	FOXG1_unique
ENSMUSG00000025451	3121.898727	0.177212727	0.119592186	0.113917402	0.247682193	Paip1	chr13	119419015	119419283	DIV11	Distal Intergenic	13	119428601	119457391	28791	1	ENSMUST00000109203	-9318	ENSMUSG00000025451	FOXG1_unique
ENSMUSG00000025453	16.11444201	-0.185000973	0.339867631	0.233887984	0.407837258	Nnt	chr13	119143337	119143595	DIV11	Distal Intergenic	13	119335448	119408997	73550	2	ENSMUST00000069902	265402	ENSMUSG00000025453	FOXG1_unique
ENSMUSG00000025465	3538.631443	0.237174823	0.112915446	0.024775468	0.080086761	Echs1	chr7	140114466	140114650	DIV11	Promoter (1-2kb)	7	140106084	140113007	6924	2	ENSMUST00000135842	-1460	ENSMUSG00000025465	FOXG1_unique
ENSMUSG00000025466	553.4731035	0.595255015	0.192402371	0.000379201	0.002692815	Fuom	chr7	140102119	140102462	DIV11	Promoter (<=1kb)	7	140096770	140102403	5634	2	ENSMUST00000120034	0	ENSMUSG00000025466	FOXG1_unique
ENSMUSG00000025468	4074.163803	0.364468792	0.249075922	0.04498222	0.125819152	Caly	chr7	140078716	140079017	DIV11	Intron (ENSMUST00000166758/ENSMUSG00000025468, intron 2 of 6)	7	140069880	140082301	12422	2	ENSMUST00000166758	3284	ENSMUSG00000025468	FOXG1_unique
ENSMUSG00000025469	8.137026435	0.240681482	0.459530872	0.004131288	0.019426275	Msx3	chr7	140057948	140058190	DIV11	Distal Intergenic	7	140046258	140049140	2883	2	ENSMUST00000172775	-8809	ENSMUSG00000025469	FOXG1_unique
ENSMUSG00000025470	679.3777012	-0.068500576	0.138070537	0.568561843	0.722371492	Zfp511	chr7	140036333	140036688	DIV11	Promoter (<=1kb)	7	140036391	140040605	4215	1	ENSMUST00000168194	0	ENSMUSG00000025470	FOXG1_unique
ENSMUSG00000025475	2401.931617	-0.000353953	0.107910609	0.999405605	0.999603263	Adgra1	chr7	139786623	139786807	DIV11	Distal Intergenic	7	139834174	139878088	43915	1	ENSMUST00000026548	-47367	ENSMUSG00000025475	FOXG1_unique
ENSMUSG00000025477	2199.639422	0.51124206	0.085278537	6.14118E-10	2.14559E-08	Inpp5a	chr7	139324245	139324873	DIV11	Distal Intergenic	7	139389109	139579652	190544	1	ENSMUST00000106098	-64236	ENSMUSG00000025477	FOXG1_unique
ENSMUSG00000025478	5944.230878	0.479930708	0.119045692	1.77868E-05	0.000200451	Dpysl4	chr7	139086200	139086534	DIV11	Promoter (<=1kb)	7	139086028	139101783	15756	1	ENSMUST00000122844	173	ENSMUSG00000025478	FOXG1_unique
ENSMUSG00000025485	4445.392885	-0.019145056	0.094705062	0.888998027	0.939431703	Ric8	chr7	140857215	140857651	DIV11	Promoter (<=1kb)	7	140857315	140858342	1028	1	ENSMUST00000151384	0	ENSMUSG00000025485	FOXG1_unique
ENSMUSG00000025486	1353.198375	-0.119988983	0.089938982	0.16231037	0.317664133	Sirt3	chr7	140881679	140882383	DIV11	Promoter (<=1kb)	7	140863670	140881869	18200	2	ENSMUST00000106048	0	ENSMUSG00000025486	FOXG1_unique
ENSMUSG00000025488	2.011608172	0.037657568	0.321075267	0.640783545	.	Cox8b	chr7	140906747	140907003	DIV11	Distal Intergenic	7	140898943	140900446	1504	2	ENSMUST00000026561	-6302	ENSMUSG00000025488	FOXG1_unique
ENSMUSG00000025495	3266.284146	-0.051180747	0.097744305	0.590409881	0.739016468	Ptdss2	chr7	141122821	141123674	DIV11	Promoter (<=1kb)	7	141122382	141154456	32075	1	ENSMUST00000174373	440	ENSMUSG00000025495	FOXG1_unique
ENSMUSG00000025503	6431.134934	-0.356313618	0.164445439	0.012571615	0.04726974	Taldo1	chr7	141391611	141391832	DIV11	Promoter (<=1kb)	7	141392199	141402968	10770	1	ENSMUST00000026576	-367	ENSMUSG00000025503	FOXG1_unique
ENSMUSG00000025508	8220.703546	-0.075493533	0.118854465	0.48341389	0.652714737	Rplp2	chr7	141446795	141448044	DIV11	Promoter (<=1kb)	7	141447370	141451585	4216	1	ENSMUST00000084434	0	ENSMUSG00000025508	FOXG1_unique
ENSMUSG00000025511	2534.883447	-0.488525608	0.119518715	1.31977E-05	0.000154143	Tspan4	chr7	141474968	141475582	DIV11	Promoter (<=1kb)	7	141475240	141493427	18188	1	ENSMUST00000026585	0	ENSMUSG00000025511	FOXG1_unique
ENSMUSG00000025515	6.792002008	0.007529734	0.313827262	0.937458406	0.96552345	Muc2	chr7	141755692	141756047	DIV11	Distal Intergenic	7	141746832	141754690	7859	1	ENSMUST00000026590	8861	ENSMUSG00000025515	FOXG1_unique
ENSMUSG00000025519	11.21009242	-1.959232033	0.660572848	0.000165541	0.001338419	Tktl2	chr8	66534321	66534523	DIV11	Distal Intergenic	8	66511740	66513778	2039	1	ENSMUST00000002025	22582	ENSMUSG00000025519	FOXG1_unique
ENSMUSG00000025521	588.0394849	0.218166613	0.146042262	0.097584489	0.222276391	Tmem192	chr8	64947014	64947198	DIV11	Promoter (<=1kb)	8	64947185	64969034	21850	1	ENSMUST00000026595	0	ENSMUSG00000025521	FOXG1_unique
ENSMUSG00000025532	1925.34162	-0.014478172	0.112518885	0.895145446	0.942726845	Crcp	chr5	130027919	130028103	DIV11	Promoter (1-2kb)	5	130029290	130060789	31500	1	ENSMUST00000026608	-1187	ENSMUSG00000025532	FOXG1_unique
ENSMUSG00000025533	715.4916295	-0.331015367	0.205727726	0.045936179	0.127625734	Asl	chr5	130014466	130014795	DIV11	Promoter (<=1kb)	5	130011566	130014722	3157	2	ENSMUST00000159096	0	ENSMUSG00000025533	FOXG1_unique
ENSMUSG00000025537	256.734929	0.187020307	0.272865342	0.290806136	0.471522709	Phkg1	chr5	129878481	129878697	DIV11	Promoter (<=1kb)	5	129863421	129879083	15663	2	ENSMUST00000026617	386	ENSMUSG00000025537	FOXG1_unique
ENSMUSG00000025544	5173.56477	-0.117695075	0.089538795	0.172513178	0.332075476	Tm9sf2	chr14	122106454	122107467	DIV11	Promoter (<=1kb)	14	122107038	122159604	52567	1	ENSMUST00000026624	0	ENSMUSG00000025544	FOXG1_unique
ENSMUSG00000025545	995.8839087	0.190131711	0.143312809	0.143815434	0.291419655	Clybl	chr14	122181244	122182147	DIV11	Promoter (<=1kb)	14	122181694	122402232	220539	1	ENSMUST00000026625	0	ENSMUSG00000025545	FOXG1_unique
ENSMUSG00000025551	999.9255195	0.132665713	0.154937709	0.330151342	0.512872945	Fgf14	chr14	124137388	124137680	DIV11	Intron (ENSMUST00000095529/ENSMUSG00000025551, intron 1 of 4)	14	123978291	124192902	214612	2	ENSMUST00000026631	55222	ENSMUSG00000025551	FOXG1_unique
ENSMUSG00000025555	5978.901678	-0.066017254	0.074351732	0.359665718	0.541627173	Farp1	chr14	121015469	121015683	DIV11	Distal Intergenic	14	121035200	121235089	199890	1	ENSMUST00000135010	-19517	ENSMUSG00000025555	FOXG1_unique
ENSMUSG00000025557	57.75990092	-0.285733638	0.381198778	0.121201439	0.25868157	Slc15a1	chr14	121450912	121451451	DIV11	Distal Intergenic	14	121459621	121505254	45634	2	ENSMUST00000088386	53803	ENSMUSG00000025557	FOXG1_unique
ENSMUSG00000025558	5594.476496	-1.949022834	0.220101109	2.82871E-20	6.57724E-18	Dock9	chr14	121645436	121645631	DIV11	Intron (ENSMUST00000040700/ENSMUSG00000025558, intron 9 of 53)	14	121542039	121698417	156379	2	ENSMUST00000040700	52786	ENSMUSG00000025558	FOXG1_unique
ENSMUSG00000025571	3663.59691	-0.125623556	0.144852559	0.323522765	0.5065435	Tnrc6c	chr11	117654326	117654784	DIV11	Promoter (<=1kb)	11	117654573	117763428	108856	1	ENSMUST00000141115	0	ENSMUSG00000025571	FOXG1_unique
ENSMUSG00000025574	224.87992	-0.221673317	0.292462938	0.212925356	0.383259478	Tk1	chr11	117826687	117826955	DIV11	Promoter (<=1kb)	11	117815526	117826092	10567	2	ENSMUST00000026661	-596	ENSMUSG00000025574	FOXG1_unique
ENSMUSG00000025576	2861.532651	0.013338255	0.160838645	0.928814424	0.960876904	Rbfox3	chr11	118545780	118546079	DIV11	Intron (ENSMUST00000117731/ENSMUSG00000025576, intron 3 of 13)	11	118502842	118569910	67069	2	ENSMUST00000136551	23831	ENSMUSG00000025576	FOXG1_unique
ENSMUSG00000025577	285.4983892	-0.158317754	0.135847296	0.198402351	0.364563645	Cbx2	chr11	119021209	119021624	DIV11	Promoter (1-2kb)	11	119022962	119031270	8309	1	ENSMUST00000026662	-1338	ENSMUSG00000025577	FOXG1_unique
ENSMUSG00000025578	578.0176214	0.323550022	0.100195478	0.000679275	0.004409841	Cbx8	chr11	119035536	119035820	DIV11	Downstream (<1kb)	11	119039053	119040831	1779	2	ENSMUST00000128019	5011	ENSMUSG00000025578	FOXG1_unique
ENSMUSG00000025579	12503.08174	0.099364232	0.062368832	0.104353764	0.232947726	Gaa	chr11	119267669	119268136	DIV11	Promoter (<=1kb)	11	119267887	119285454	17568	1	ENSMUST00000106259	0	ENSMUSG00000025579	FOXG1_unique
ENSMUSG00000025580	3297.915408	0.297268003	0.080755279	0.000147141	0.001209686	Eif4a3	chr11	119299494	119300079	DIV11	Promoter (<=1kb)	11	119292841	119300014	7174	2	ENSMUST00000106253	0	ENSMUSG00000025580	FOXG1_unique
ENSMUSG00000025582	2113.84574	-2.303691411	0.274234338	1.02091E-18	1.82703E-16	Nptx1	chr11	119546168	119547031	DIV11	Promoter (<=1kb)	11	119538719	119547753	9035	2	ENSMUST00000026670	722	ENSMUSG00000025582	FOXG1_unique
ENSMUSG00000025583	3265.684174	-0.162518954	0.1146327	0.142214839	0.288993975	Rptor	chr11	119593164	119593516	DIV11	Distal Intergenic	11	119602905	119823176	220272	1	ENSMUST00000125583	-9389	ENSMUSG00000025583	FOXG1_unique
ENSMUSG00000025586	2184.996523	-0.553399213	0.108377461	8.17895E-08	1.76013E-06	Cpeb1	chr7	81369777	81370010	DIV11	Promoter (2-3kb)	7	81361586	81372441	10856	2	ENSMUST00000153419	2431	ENSMUSG00000025586	FOXG1_unique
ENSMUSG00000025588	24.38736514	-0.095838924	0.2762573	0.547107509	0.705837476	Nat1	chr8	67439917	67440712	DIV11	Distal Intergenic	8	67490758	67492104	1347	1	ENSMUST00000026677	-50046	ENSMUSG00000025588	FOXG1_unique
ENSMUSG00000025591	510.8219883	-0.329799575	0.139482036	0.00925888	0.037147539	Tma16	chr8	66486404	66486821	DIV11	Promoter (<=1kb)	8	66474330	66486497	12168	2	ENSMUST00000143972	0	ENSMUSG00000025591	FOXG1_unique
ENSMUSG00000025607	2266.274158	0.212543807	0.109478771	0.038644972	0.112062664	Copg2	chr6	30896025	30896404	DIV11	Promoter (<=1kb)	6	30858803	30896426	37624	2	ENSMUST00000133916	22	ENSMUSG00000025607	FOXG1_unique
ENSMUSG00000025608	2392.685337	-0.273581751	0.250392793	0.126228089	0.266379515	Podxl	chr6	31522763	31522959	DIV11	Promoter (1-2kb)	6	31522992	31524311	1320	2	ENSMUST00000136877	1352	ENSMUSG00000025608	FOXG1_unique
ENSMUSG00000025609	3344.963068	-0.158719046	0.08099466	0.042833583	0.121475201	Mkln1	chr6	31398328	31399054	DIV11	Promoter (<=1kb)	6	31398735	31516811	118077	1	ENSMUST00000026699	0	ENSMUSG00000025609	FOXG1_unique
ENSMUSG00000025610	429.8154212	0.144291701	0.207422003	0.370331092	0.551858874	Map3k7cl	chr16	87568359	87568554	DIV11	Intron (ENSMUST00000026700/ENSMUSG00000025610, intron 2 of 4)	16	87553330	87595336	42007	1	ENSMUST00000026700	15030	ENSMUSG00000025610	FOXG1_unique
ENSMUSG00000025613	10022.94149	-0.197190338	0.056892169	0.000423752	0.002956911	Cct8	chr16	87494883	87495361	DIV11	Promoter (<=1kb)	16	87490488	87495704	5217	2	ENSMUST00000176750	343	ENSMUSG00000025613	FOXG1_unique
ENSMUSG00000025644	14.99232875	-0.050716229	0.290727212	0.717613082	0.834055077	RP23-9P6.2	chr9	109122824	109123087	DIV11	Distal Intergenic	9	109093844	109097796	3953	2	ENSMUST00000134690	-25029	ENSMUSG00000025644	FOXG1_unique
ENSMUSG00000025645	318.6631297	0.059853908	0.115090347	0.586663952	0.736296382	Ccdc51	chr9	109082273	109082722	DIV11	Promoter (<=1kb)	9	109082496	109093363	10868	1	ENSMUST00000026735	0	ENSMUSG00000025645	FOXG1_unique
ENSMUSG00000025648	964.9634687	-0.540303704	0.169020236	0.00033166	0.002394417	Pfkfb4	chr9	108991301	108991773	DIV11	Promoter (<=1kb)	9	108991902	109010572	18671	1	ENSMUST00000147989	-129	ENSMUSG00000025648	FOXG1_unique
ENSMUSG00000025651	11029.84811	0.056588077	0.092162585	0.523544334	0.68548727	Uqcrc1	chr9	108936507	108936915	DIV11	Promoter (<=1kb)	9	108936648	108949640	12993	1	ENSMUST00000026743	0	ENSMUSG00000025651	FOXG1_unique
ENSMUSG00000025702	4517.23021	0.53202003	0.160404426	0.00020328	0.001592009	March8	chr6	116337649	116338025	DIV11	Promoter (<=1kb)	6	116338024	116409540	71517	1	ENSMUST00000079012	0	ENSMUSG00000025702	FOXG1_unique
ENSMUSG00000025716	1.388477698	0.037407534	0.327376053	0.462038457	.	Myo3a	chr2	22194035	22194219	DIV11	Distal Intergenic	2	22227503	22618252	390750	1	ENSMUST00000044749	-33284	ENSMUSG00000025716	FOXG1_unique
ENSMUSG00000025722	1390.632111	-0.115861896	0.101080867	0.242715872	0.418180847	Wdr73	chr7	80901301	80901632	DIV11	Promoter (<=1kb)	7	80890723	80901269	10547	2	ENSMUST00000026816	-33	ENSMUSG00000025722	FOXG1_unique
ENSMUSG00000025723	108.3864097	-0.240254512	0.186159462	0.12279823	0.261180253	Nmb	chr7	80905126	80905502	DIV11	Promoter (<=1kb)	7	80902228	80905076	2849	2	ENSMUST00000026817	-51	ENSMUSG00000025723	FOXG1_unique
ENSMUSG00000025724	2321.691018	0.031891	0.099918342	0.741137138	0.849338883	Sec11a	chr7	80947256	80947498	DIV11	Promoter (<=1kb)	7	80915763	80947511	31749	2	ENSMUST00000147881	13	ENSMUSG00000025724	FOXG1_unique
ENSMUSG00000025726	3.563861844	0.175924844	0.378947853	0.088356798	.	Slc28a1	chr7	81110405	81110632	DIV11	Distal Intergenic	7	81114799	81170416	55618	1	ENSMUST00000026820	-4167	ENSMUSG00000025726	FOXG1_unique
ENSMUSG00000025728	5877.222327	0.280334465	0.098585937	0.002729679	0.01389525	Pigq	chr17	25941039	25941493	DIV11	Promoter (<=1kb)	17	25926428	25941883	15456	2	ENSMUST00000148045	390	ENSMUSG00000025728	FOXG1_unique
ENSMUSG00000025730	3137.5115	0.001602148	0.086992782	0.9856209	0.992242718	Rab40c	chr17	25919869	25920707	DIV11	Promoter (<=1kb)	17	25883639	25919727	36089	2	ENSMUST00000167018	-143	ENSMUSG00000025730	FOXG1_unique
ENSMUSG00000025731	1137.134775	0.502595714	0.103911764	4.00646E-07	7.17862E-06	RP23-356J2.10	chr17	25875950	25876289	DIV11	Promoter (<=1kb)	17	25875530	25886007	10478	1	ENSMUST00000163356	421	ENSMUSG00000025731	FOXG1_unique
ENSMUSG00000025732	574.7404445	0.418942395	0.1381384	0.000920248	0.005651395	Mcrip2	chr17	25868212	25868496	DIV11	Promoter (<=1kb)	17	25863698	25868738	5041	2	ENSMUST00000026828	242	ENSMUSG00000025732	FOXG1_unique
ENSMUSG00000025737	1275.041021	0.119081923	0.081299996	0.140088	0.285842259	Wdr24	chr17	25823383	25823735	DIV11	Promoter (<=1kb)	17	25823627	25828730	5104	1	ENSMUST00000026833	0	ENSMUSG00000025737	FOXG1_unique
ENSMUSG00000025738	10732.55967	-0.091141195	0.174674682	0.517113263	0.680495182	Fbxl16	chr17	25809097	25809293	DIV11	Promoter (<=1kb)	17	25809085	25821244	12160	1	ENSMUST00000045692	13	ENSMUSG00000025738	FOXG1_unique
ENSMUSG00000025745	5490.131901	-0.047390564	0.128084896	0.694514233	0.818003912	Hadha	chr5	30114086	30114541	DIV11	Exon (ENSMUST00000058045/ENSMUSG00000044576, exon 4 of 6)	5	30119899	30120305	407	2	ENSMUST00000132486	5764	ENSMUSG00000025745	FOXG1_unique
ENSMUSG00000025746	8.698665099	0.024233734	0.320933538	0.704967756	0.825468438	Il6	chr5	30000909	30001282	DIV11	Distal Intergenic	5	30013161	30019968	6808	1	ENSMUST00000026845	-11879	ENSMUSG00000025746	FOXG1_unique
ENSMUSG00000025754	4.251794274	-0.094979193	0.335236286	0.286580933	.	Agbl1	chr7	76103222	76103420	DIV11	Distal Intergenic	7	76318071	76766603	448533	1	ENSMUST00000166190	-214651	ENSMUSG00000025754	FOXG1_unique
ENSMUSG00000025757	7106.313965	-0.269123886	0.121030442	0.016227302	0.057308325	Hspa4l	chr3	40745534	40746037	DIV11	Promoter (<=1kb)	3	40745583	40758596	13014	1	ENSMUST00000161806	0	ENSMUSG00000025757	FOXG1_unique
ENSMUSG00000025758	328.5486905	0.181141148	0.147571443	0.170104938	0.328735253	Plk4	chr3	40812788	40813037	DIV11	Promoter (<=1kb)	3	40812738	40816882	4145	1	ENSMUST00000171538	51	ENSMUSG00000025758	FOXG1_unique
ENSMUSG00000025759	831.9680322	-0.402236618	0.125076789	0.000532248	0.00359134	Mfsd8	chr3	40835252	40835478	DIV11	Exon (ENSMUST00000026859/ENSMUSG00000025759, exon 9 of 12)	3	40826933	40846694	19762	2	ENSMUST00000137533	11216	ENSMUSG00000025759	FOXG1_unique
ENSMUSG00000025762	701.1226443	0.481064377	0.087193246	1.14712E-08	2.99035E-07	Larp1b	chr3	41024187	41024408	DIV11	Promoter (<=1kb)	3	41024373	41039236	14864	1	ENSMUST00000099121	0	ENSMUSG00000025762	FOXG1_unique
ENSMUSG00000025764	1105.104071	-0.034981314	0.14446985	0.774625463	0.870421278	Jade1	chr3	41516893	41517306	DIV11	Distal Intergenic	3	41555734	41616862	61129	1	ENSMUST00000026865	-38428	ENSMUSG00000025764	FOXG1_unique
ENSMUSG00000025766	446.8903855	0.469657011	0.145652358	0.000406515	0.002857327	D3Ertd751e	chr3	41742592	41742919	DIV11	Promoter (<=1kb)	3	41742611	41759389	16779	1	ENSMUST00000143841	0	ENSMUSG00000025766	FOXG1_unique
ENSMUSG00000025774	2.797324834	-0.145316809	0.371105271	0.019674618	.	Crisp4	chr1	17946915	17947131	DIV11	Distal Intergenic	1	18115204	18137051	21848	2	ENSMUST00000115340	189920	ENSMUSG00000025774	FOXG1_unique
ENSMUSG00000025777	5827.741195	-0.636371932	0.209547624	0.000398798	0.00281384	Gdap1	chr1	17123427	17123611	DIV11	Distal Intergenic	1	17145362	17164271	18910	1	ENSMUST00000026879	-21751	ENSMUSG00000025777	FOXG1_unique
ENSMUSG00000025780	4235.510356	0.226987982	0.242712726	0.194124639	0.359940177	Itih5	chr2	10154807	10155143	DIV11	Promoter (1-2kb)	2	10153571	10256529	102959	1	ENSMUST00000026886	1237	ENSMUSG00000025780	FOXG1_unique
ENSMUSG00000025781	9552.015884	0.171647249	0.079300061	0.026222353	0.083548901	Atp5c1	chr2	10080027	10080417	DIV11	Promoter (<=1kb)	2	10063286	10080322	17037	2	ENSMUST00000145530	0	ENSMUSG00000025781	FOXG1_unique
ENSMUSG00000025782	467.0759826	-0.036606187	0.104514041	0.711998257	0.830381174	Taf3	chr2	10025007	10025232	DIV11	Intron (ENSMUST00000026888/ENSMUSG00000025782, intron 2 of 6)	2	9914552	10048596	134045	2	ENSMUST00000026888	23364	ENSMUSG00000025782	FOXG1_unique
ENSMUSG00000025785	867.3869491	0.205149086	0.124227086	0.074488716	0.182779263	Exosc7	chr9	123113263	123113549	DIV11	Promoter (<=1kb)	9	123113258	123119784	6527	1	ENSMUST00000159376	6	ENSMUSG00000025785	FOXG1_unique
