geneId	Chrom	Start	End	cluster_1	annotation	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000026817	chr2	32621757	32635058	cluster_5	Promoter (<=1kb)	9969.806158	0.13210225	0.107028665	0.18919685	0.35349248	Ak1
ENSMUSG00000026821	chr2	28513166	28553082	cluster_5	Promoter (<=1kb)	4543.041687	-0.194510204	0.08475801	0.017483497	0.060788955	Ralgds
ENSMUSG00000026822	chr2	32384636	32387739	cluster_5	Promoter (<=1kb)	13500.71888	-0.139969041	0.357792085	0.043844682	0.123683457	Lcn2
ENSMUSG00000026828	chr2	57998154	58039171	cluster_5	Promoter (<=1kb)	4.022403357	-0.089679685	0.334579319	0.276575076	.	Galnt5
ENSMUSG00000026829	chr2	28496890	28505415	cluster_5	Promoter (<=1kb)	13.46109341	0.051035581	0.289814005	0.718490365	0.834779254	Gbgt1
ENSMUSG00000026830	chr2	58045114	58052752	cluster_5	Promoter (<=1kb)	16.68440518	0.146651719	0.330291363	0.29543804	0.476512207	Ermn
ENSMUSG00000026834	chr2	58267452	58357758	cluster_5	Promoter (<=1kb)	74.08941204	-0.662343297	0.339117783	0.006433017	0.027824138	Acvr1c
ENSMUSG00000026837	chr2	27886424	28039510	cluster_5	Promoter (<=1kb)	7071.3521	-0.033929525	0.108139763	0.735600718	0.845625216	Col5a1
ENSMUSG00000026840	chr2	31887280	31946535	cluster_5	Promoter (<=1kb)	95.37431361	-0.03336069	0.242421863	0.838370416	0.910300205	Lamc3
ENSMUSG00000026841	chr2	31813289	31846005	cluster_5	Promoter (<=1kb)	715.2684171	-3.136668951	0.184172456	1.04636E-66	7.05558E-63	Fibcd1
ENSMUSG00000026843	chr2	31612420	31612484	cluster_5	Promoter (<=1kb)	1904.326128	-0.326948234	0.159571949	0.01953348	0.066359745	Fubp3
ENSMUSG00000026866	chr2	43555324	43636758	cluster_5	Promoter (<=1kb)	5.227865867	0.019789853	0.303108441	0.868825366	0.928744196	Kynu
ENSMUSG00000026870	chr2	34874395	34892133	cluster_5	Promoter (<=1kb)	222.2563868	-0.055267708	0.198491902	0.726303079	0.839793707	Cutal
ENSMUSG00000026873	chr2	34893754	34913976	cluster_5	Promoter (<=1kb)	201.2114008	-0.203490502	0.216494875	0.222023783	0.393743502	Phf19
ENSMUSG00000026874	chr2	34983330	35061441	cluster_5	Promoter (<=1kb)	247.407532	0.033026787	0.264286077	0.837200026	0.909739972	Hc
ENSMUSG00000026875	chr2	34943257	34961772	cluster_5	Promoter (<=1kb)	520.6758119	0.105601011	0.26010986	0.534655445	0.695493947	Traf1
ENSMUSG00000026879	chr2	35256358	35307902	cluster_5	Promoter (<=1kb)	2919.716653	-0.769826785	0.112792905	1.25349E-12	7.47988E-11	Gsn
ENSMUSG00000026880	chr2	35313989	35337009	cluster_5	Promoter (<=1kb)	1869.37572	-0.189146563	0.184336434	0.216243432	0.387412545	Stom
ENSMUSG00000026890	chr2	36081952	36105408	cluster_5	Promoter (<=1kb)	1950.436765	0.580148138	0.271180189	0.005419181	0.024205038	Lhx6
ENSMUSG00000026915	chr2	37569867	37647285	cluster_5	Promoter (<=1kb)	4800.643937	-0.308963322	0.092054926	0.000453752	0.003129542	Strbp
ENSMUSG00000026918	chr2	27450548	27450630	cluster_5	Exon (ENSMUST00000028282/ENSMUSG00000026918, exon 3 of 12)	4377.950072	0.023910889	0.111661437	0.811066881	0.893826102	Brd3
ENSMUSG00000026921	chr2	26581055	26592682	cluster_5	Promoter (<=1kb)	366.8650706	0.684626002	0.215200768	0.000204273	0.001596695	Egfl7
ENSMUSG00000026922	chr2	26593056	26604417	cluster_5	Promoter (<=1kb)	132.4004156	0.449313853	0.244900128	0.019054443	0.065165228	Agpat2
ENSMUSG00000026923	chr2	26470058	26470119	cluster_5	Promoter (<=1kb)	2091.618837	-0.186052484	0.097771825	0.045650616	0.127129173	Notch1
ENSMUSG00000026928	chr2	26352311	26359547	cluster_5	Promoter (<=1kb)	10.70909116	-0.033134471	0.290203986	0.804755459	0.890143804	Card9
ENSMUSG00000026931	chr19	58785802	58794414	cluster_5	Promoter (<=1kb)	1.383414315	-0.038075627	0.328117221	0.513393013	.	RP24-562H22.1
ENSMUSG00000026934	chr2	26200211	26206575	cluster_5	Promoter (<=1kb)	3.070991481	0.045513788	0.321374592	0.578343499	.	Lhx3
ENSMUSG00000026937	chr2	25657951	25661645	cluster_5	Promoter (<=1kb)	1.537330038	-0.006380277	0.326704828	0.894365209	.	Lcn5
ENSMUSG00000026938	chr2	25624666	25627974	cluster_5	Promoter (<=1kb)	1.669227886	0.004437122	0.325779405	0.883238748	.	Fcna
ENSMUSG00000026939	chr2	25620065	25622002	cluster_5	Promoter (<=1kb)	475.7441638	0.578242125	0.153480894	3.59987E-05	0.00036723	Tmem141
ENSMUSG00000026941	chr2	25563114	25571316	cluster_5	Promoter (<=1kb)	83.30753256	-0.198721945	0.24809282	0.258744888	0.436905709	Mamdc4
ENSMUSG00000026943	chr2	25490844	25493911	cluster_5	Promoter (<=1kb)	5.473744325	0.154579066	0.362301048	0.169361638	0.327629012	Lcn12
ENSMUSG00000026944	chr2	25442778	25442834	cluster_5	Promoter (<=1kb)	8449.279117	-0.573693821	0.128534423	1.98986E-06	2.99056E-05	Abca2
ENSMUSG00000026946	chr2	51948498	51973208	cluster_5	Promoter (<=1kb)	201.9506349	0.082059663	0.16332466	0.562961	0.718267932	Nmi
ENSMUSG00000026950	chr2	52136646	52338798	cluster_5	Promoter (<=1kb)	210.110399	0.060387969	0.212316483	0.706094984	0.826398572	Neb
ENSMUSG00000026956	chr2	25361491	25365626	cluster_5	Promoter (<=1kb)	1099.409263	0.351654628	0.110944252	0.000755853	0.004827962	Uap1l1
ENSMUSG00000026969	chr2	25218744	25222281	cluster_5	Promoter (<=1kb)	6.307224818	0.048009366	0.303086019	0.699200946	0.821292032	Fam166a
ENSMUSG00000026970	chr2	60751952	60963204	cluster_5	Promoter (<=1kb)	1859.765548	0.239901109	0.161934528	0.089789867	0.209862417	Rbms1
ENSMUSG00000026971	chr2	60598291	60673693	cluster_5	Promoter (<=1kb)	18.57307734	0.199204747	0.350728569	0.203489842	0.37101361	Itgb6
ENSMUSG00000026976	chr2	24420550	24475599	cluster_5	Promoter (<=1kb)	138.4052545	0.073625732	0.244148644	0.659620181	0.792602117	Pax8
ENSMUSG00000026979	chr2	24385396	24408729	cluster_5	Promoter (<=1kb)	7.692117922	-0.016000207	0.295021887	0.900383829	0.945097202	Psd4
ENSMUSG00000026980	chr2	60293759	60383231	cluster_5	Promoter (<=1kb)	67.89959705	0.303403661	0.235283018	0.090289611	0.210738264	Ly75
ENSMUSG00000026981	chr2	24336859	24351491	cluster_5	Promoter (<=1kb)	2.42988067	-0.009287762	0.324211974	0.893474678	.	Il1rn
ENSMUSG00000026983	chr2	24276953	24282432	cluster_5	Promoter (<=1kb)	1.400078975	0.015802968	0.329076116	0.396714962	.	Il1f5
ENSMUSG00000026989	chr2	59484652	59505020	cluster_5	Promoter (<=1kb)	32.17743923	0.128066414	0.322221437	0.358220239	0.540456236	Dapl1
ENSMUSG00000027022	chr2	67446001	67526604	cluster_5	Promoter (<=1kb)	1.774189549	0.000538472	0.324185208	0.937160579	.	Xirp2
ENSMUSG00000027048	chr2	69238281	69342616	cluster_5	Promoter (<=1kb)	9.720534959	-0.132997185	0.320724356	0.348439726	0.530767109	Abcb11
ENSMUSG00000027068	chr2	69380461	69403086	cluster_5	Promoter (<=1kb)	1.588634237	-0.015691691	0.32285688	0.818413705	.	Dhrs9
ENSMUSG00000027074	chr2	84936645	84958509	cluster_5	Promoter (<=1kb)	486.6009888	-0.211262029	0.122506452	0.062281245	0.16082299	Slc43a3
ENSMUSG00000027075	chr2	84839407	84863586	cluster_5	Promoter (<=1kb)	16.73791044	-0.089802776	0.285762759	0.556547188	0.713378682	Slc43a1
ENSMUSG00000027082	chr2	84432859	84474174	cluster_5	Promoter (<=1kb)	220.9491455	0.62451516	0.242443694	0.001716698	0.009511666	Tfpi
ENSMUSG00000027102	chr2	74704614	74707932	cluster_5	Promoter (<=1kb)	2.71640161	0.053110476	0.331221169	0.394649814	.	Hoxd8
ENSMUSG00000027107	chr2	73563280	73580338	cluster_5	Promoter (<=1kb)	31.3615799	-0.164914823	0.371027942	0.08017577	0.193218447	Chrna1
ENSMUSG00000027160	chr2	110031249	110050479	cluster_5	Promoter (<=1kb)	1207.942263	0.236319273	0.163750931	0.094864163	0.2179223	Ccdc34
ENSMUSG00000027163	chr2	101886261	101901639	cluster_5	Promoter (<=1kb)	1681.131786	0.240111305	0.076374123	0.001505773	0.008544257	Commd9
ENSMUSG00000027165	chr2	101624747	101632528	cluster_5	Promoter (<=1kb)	1648.504355	0.133689752	0.15630364	0.330643278	0.513400588	RP23-325I3.1
ENSMUSG00000027168	chr2	105536079	105670330	cluster_5	Promoter (<=1kb)	787.1277976	0.068139132	0.157091348	0.618580134	0.761475275	Pax6
ENSMUSG00000027168	chr2	105657861	105661343	cluster_5	Intron (ENSMUST00000149133/ENSMUSG00000086029, intron 1 of 3)	787.1277976	0.068139132	0.157091348	0.618580134	0.761475275	Pax6
ENSMUSG00000027168	chr2	105668895	105698410	cluster_5	Promoter (<=1kb)	787.1277976	0.068139132	0.157091348	0.618580134	0.761475275	Pax6
ENSMUSG00000027171	chr2	104830740	104849850	cluster_5	Promoter (<=1kb)	1026.231639	-0.398548677	0.200492788	0.015856885	0.056375997	Prrg4
ENSMUSG00000027173	chr2	104721786	104742801	cluster_5	Promoter (<=1kb)	136.4209631	-0.429757336	0.292420859	0.037087572	0.108705851	Depdc7
ENSMUSG00000027186	chr2	103412097	103450988	cluster_5	Promoter (<=1kb)	2.778417294	-0.244937778	0.465474192	0.012780599	.	Elf5
ENSMUSG00000027202	chr2	125152599	125230001	cluster_5	Promoter (<=1kb)	3.062724083	0.174066381	0.383335164	0.055908094	.	Slc12a1
ENSMUSG00000027215	chr2	93419101	93462950	cluster_5	Promoter (<=1kb)	1450.170637	0.282644902	0.173111157	0.056636775	0.150012324	Cd82
ENSMUSG00000027215	chr2	93421928	93422007	cluster_5	Promoter (1-2kb)	1450.170637	0.282644902	0.173111157	0.056636775	0.150012324	Cd82
ENSMUSG00000027219	chr2	122426476	122461130	cluster_5	Promoter (<=1kb)	3.01428453	-0.170408297	0.383768543	0.056502868	.	Slc28a2
ENSMUSG00000027221	chr2	92592205	92592277	cluster_5	Distal Intergenic	3433.032696	-1.061824953	0.133834283	1.97417E-16	2.28601E-14	Chst1
ENSMUSG00000027221	chr2	92594601	92594676	cluster_5	Distal Intergenic	3433.032696	-1.061824953	0.133834283	1.97417E-16	2.28601E-14	Chst1
ENSMUSG00000027224	chr2	122303548	122313730	cluster_5	Promoter (<=1kb)	8.135236793	-0.076177107	0.312532194	0.525767311	0.68783725	Duoxa1
ENSMUSG00000027225	chr2	122298899	122302885	cluster_5	Promoter (<=1kb)	9.54500814	-0.06563137	0.310361305	0.587258633	0.736905581	Duoxa2
ENSMUSG00000027233	chr2	122120107	122186189	cluster_5	Promoter (<=1kb)	2.889448906	-0.07035005	0.333968186	0.213381933	.	Patl2
ENSMUSG00000027239	chr2	91929804	91931859	cluster_5	Promoter (<=1kb)	3879.739106	0.539766888	0.100968896	2.06905E-08	5.03668E-07	Mdk
ENSMUSG00000027246	chr2	121439026	121442601	cluster_5	Promoter (<=1kb)	2.249421891	-0.011936693	0.324578666	0.808075856	.	Ell3
ENSMUSG00000027253	chr2	91457530	91479287	cluster_5	Promoter (<=1kb)	863.4392206	-0.145879477	0.122800172	0.197632666	0.363665339	Lrp4
ENSMUSG00000027257	chr2	91256164	91264680	cluster_5	Promoter (<=1kb)	514.7081847	0.060954858	0.171265248	0.676897659	0.805421019	Pacsin3
ENSMUSG00000027261	chr2	134497360	134554352	cluster_5	Promoter (<=1kb)	2.502687569	-0.058129484	0.329589837	0.272187146	.	Hao1
ENSMUSG00000027270	chr2	136057926	136069917	cluster_5	Promoter (<=1kb)	90.05581155	0.244453769	0.293889355	0.188346548	0.352414777	Lamp5
ENSMUSG00000027293	chr2	120089486	120154575	cluster_5	Promoter (<=1kb)	1200.422044	0.237387999	0.256575874	0.174845183	0.334906088	Ehd4
ENSMUSG00000027297	chr2	119751325	119758525	cluster_5	Promoter (<=1kb)	96.87822974	0.227252837	0.209286251	0.169567526	0.327870529	Ltk
ENSMUSG00000027315	chr2	119237359	119249513	cluster_5	Promoter (<=1kb)	18.40875146	-0.13278654	0.322263777	0.311956592	0.494481264	Spint1
ENSMUSG00000027317	chr2	119218118	119229865	cluster_5	Promoter (<=1kb)	1.286734236	-0.06138182	0.334004565	0.151625001	.	Ppp1r14d
ENSMUSG00000027318	chr2	131050816	131063814	cluster_5	Promoter (<=1kb)	20.33476667	0.14487837	0.286305604	0.388160252	0.569033535	Adam33
ENSMUSG00000027322	chr2	131069219	131086765	cluster_5	Promoter (<=1kb)	3.785798268	-0.087972065	0.334619714	0.288048495	.	Siglec1
ENSMUSG00000027327	chr2	131142468	131604824	cluster_5	Promoter (<=1kb)	3364.605499	0.330112038	0.15893281	0.018235638	0.062800258	RP23-32L15.2
ENSMUSG00000027355	chr2	116878690	116892500	cluster_5	Promoter (<=1kb)	3.285543702	0.111265639	0.349476458	0.113286055	.	Tmco5
ENSMUSG00000027358	chr2	133552158	133562896	cluster_5	Promoter (<=1kb)	75.88384603	-0.074692439	0.215168034	0.645349848	0.782071238	Bmp2
ENSMUSG00000027360	chr2	126593659	126618678	cluster_5	Promoter (<=1kb)	149.1250439	1.251369549	0.478254286	0.000527327	0.003566463	Hdc
ENSMUSG00000027366	chr2	126902249	126902385	cluster_5	Intron (ENSMUST00000028844/ENSMUSG00000027366, intron 14 of 14)	2489.61791	-0.002457191	0.120249242	0.992342552	0.995640189	Sppl2a
ENSMUSG00000027368	chr2	127336158	127338377	cluster_5	Promoter (<=1kb)	103.5931934	-0.171620366	0.250717076	0.323607689	0.506558844	Dusp2
ENSMUSG00000027375	chr2	127633225	127656695	cluster_5	Promoter (<=1kb)	18.63729676	-0.293047317	0.474378538	0.055565894	0.147846961	Mal
ENSMUSG00000027376	chr2	127526952	127541417	cluster_5	Promoter (<=1kb)	7.05272435	-0.308133419	0.497962046	0.048866732	0.133952787	Prom2
ENSMUSG00000027377	chr2	127704389	127729897	cluster_5	Promoter (<=1kb)	23.68650197	0.360278631	0.407345023	0.081253229	0.195001966	Mall
ENSMUSG00000027398	chr2	129364577	129371139	cluster_5	Promoter (<=1kb)	5.647388805	-0.101134974	0.334800774	0.286000901	0.466460713	Il1b
ENSMUSG00000027398	chr2	129369901	129375733	cluster_5	Promoter (<=1kb)	5.647388805	-0.101134974	0.334800774	0.286000901	0.466460713	Il1b
ENSMUSG00000027399	chr2	129299609	129309972	cluster_5	Promoter (<=1kb)	2.057129756	-0.155356219	0.381719489	0.008573785	.	Il1a
ENSMUSG00000027400	chr2	129686548	129698658	cluster_5	Promoter (<=1kb)	844.0741744	0.127008313	0.204366969	0.42559434	0.603868128	Pdyn
ENSMUSG00000027401	chr2	130012339	130050399	cluster_5	Promoter (<=1kb)	16.28812912	-0.338915468	0.37530866	0.094275986	0.216963472	Tgm3
ENSMUSG00000027401	chr2	130016291	130016408	cluster_5	Intron (ENSMUST00000110299/ENSMUSG00000027401, intron 1 of 12)	16.28812912	-0.338915468	0.37530866	0.094275986	0.216963472	Tgm3
ENSMUSG00000027408	chr2	130390774	130397629	cluster_5	Promoter (<=1kb)	827.9204408	-0.055235258	0.113453903	0.602692556	0.748748247	Cpxm1
ENSMUSG00000027420	chr2	143826527	143863173	cluster_5	Promoter (<=1kb)	32.80033796	0.268390459	0.320071661	0.155990907	0.30874191	Bfsp1
ENSMUSG00000027428	chr2	144542264	144550859	cluster_5	Promoter (<=1kb)	1250.210949	0.086698584	0.140921006	0.482827896	0.652267522	Rbbp9
ENSMUSG00000027434	chr2	147184082	147331681	cluster_5	Promoter (<=1kb)	43.82874415	-0.146914901	0.290380434	0.37417411	0.555984139	Nkx2-2
ENSMUSG00000027435	chr2	148436650	148443535	cluster_5	Promoter (<=1kb)	27.05502412	-0.109889475	0.295289812	0.465118342	0.636644585	Cd93
ENSMUSG00000027446	chr2	148846713	148850934	cluster_5	Promoter (<=1kb)	2.196574674	0.082117727	0.335549179	0.242234994	.	RP23-250M11.8
ENSMUSG00000027456	chr2	151572622	151590005	cluster_5	Promoter (<=1kb)	60.45049265	0.212553804	0.209000447	0.199547235	0.366242603	Sdcbp2
ENSMUSG00000027460	chr2	151911331	151944654	cluster_5	Promoter (<=1kb)	935.9112597	-1.340344815	0.208337105	9.17238E-12	4.52556E-10	Angpt4
ENSMUSG00000027463	chr2	151996510	152009258	cluster_5	Promoter (<=1kb)	14.30296595	-0.051940702	0.301512029	0.683234601	0.810244621	Slc52a3
ENSMUSG00000027470	chr2	152911351	152923065	cluster_5	Promoter (<=1kb)	8.228216877	-0.01761093	0.304868467	0.872509448	0.930514215	Mylk2
ENSMUSG00000027474	chr2	153065954	153081735	cluster_5	Promoter (<=1kb)	9.640538989	0.151732568	0.348734244	0.203831671	0.371369078	Ccm2l
ENSMUSG00000027478	chr2	153649448	153687730	cluster_5	Promoter (<=1kb)	60.99125811	-0.291866237	0.345254193	0.122025678	0.259974454	Dnmt3b
ENSMUSG00000027480	chr2	153856187	153871084	cluster_5	Promoter (<=1kb)	3.308957557	-0.245723854	0.462348549	0.015354092	.	Sun5
ENSMUSG00000027481	chr2	153875044	153895270	cluster_5	Promoter (<=1kb)	2.427371399	-0.015586286	0.322797281	0.778575735	.	Bpifb2
ENSMUSG00000027483	chr2	154142879	154149217	cluster_5	Promoter (<=1kb)	1.524372408	0.002055635	0.323423314	0.971363419	.	Bpifa1
ENSMUSG00000027489	chr2	154544404	154558853	cluster_5	Promoter (<=1kb)	347.1323762	0.792160426	0.200291571	8.65744E-06	0.000106918	Necab3
ENSMUSG00000027502	chr2	172450312	172458596	cluster_5	Promoter (<=1kb)	3101.008087	-0.000105299	0.067615016	0.979366577	0.989522353	Rtfdc1
ENSMUSG00000027505	chr2	172472553	172474316	cluster_5	Promoter (<=1kb)	3.238667505	-0.083980309	0.333694849	0.300314039	.	Fam209
ENSMUSG00000027506	chr3	8929435	8964054	cluster_5	Promoter (<=1kb)	2233.51554	0.184038143	0.110120803	0.074919014	0.183412409	Tpd52
ENSMUSG00000027506	chr3	9061963	9071076	cluster_5	Distal Intergenic	2233.51554	0.184038143	0.110120803	0.074919014	0.183412409	Tpd52
ENSMUSG00000027514	chr2	173206611	173218922	cluster_5	Promoter (<=1kb)	53.29236722	0.007680711	0.241181378	0.964720932	0.981459451	Zbp1
ENSMUSG00000027520	chr1	63200357	63314575	cluster_5	Promoter (<=1kb)	2274.227315	-0.078572193	0.237584798	0.63000106	0.770466806	Zdbf2
ENSMUSG00000027523	chr2	174284319	174338090	cluster_5	Promoter (<=1kb)	55513.76782	0.288905511	0.08540174	0.000444613	0.003077005	Gnas
ENSMUSG00000027524	chr2	174760618	174784042	cluster_5	Promoter (<=1kb)	120.7840944	0.77404179	0.419826478	0.005993122	0.026275437	Edn3
ENSMUSG00000027525	chr2	178118974	178338492	cluster_5	Promoter (<=1kb)	2270.407138	0.019996637	0.186278929	0.899222006	0.944610374	Phactr3
ENSMUSG00000027546	chr2	168640695	168640759	cluster_5	Intron (ENSMUST00000109175/ENSMUSG00000027546, intron 23 of 27)	18305.85202	-0.191880662	0.121761997	0.095059641	0.218245543	Atp9a
ENSMUSG00000027555	chr3	14641726	14663002	cluster_5	Promoter (<=1kb)	42.05926721	-0.584693044	0.375062899	0.016983107	0.059376301	Car13
ENSMUSG00000027556	chr3	14766213	14778460	cluster_5	Promoter (<=1kb)	9.291033808	-1.521452493	0.899516169	0.003256939	0.016026419	Car1
ENSMUSG00000027562	chr3	14971200	15002727	cluster_5	Distal Intergenic	831.1202468	-0.117254128	0.167125747	0.411494912	0.591328449	Car2
ENSMUSG00000027570	chr2	180598221	180622185	cluster_5	Promoter (<=1kb)	1201.656359	-0.09806057	0.187542399	0.518810131	0.68153842	Col9a3
ENSMUSG00000027574	chr2	180934771	180954699	cluster_5	Promoter (<=1kb)	802.1817751	0.210927836	0.236335754	0.214717933	0.385645838	Nkain4
ENSMUSG00000027579	chr2	181205562	181213171	cluster_5	Promoter (<=1kb)	3.269267923	-0.08758328	0.331610906	0.336791652	.	Srms
ENSMUSG00000027580	chr2	181227614	181242027	cluster_5	Promoter (<=1kb)	260.2982686	-0.129742607	0.177348933	0.383341962	0.564669144	Helz2
ENSMUSG00000027583	chr2	181390885	181424388	cluster_5	Promoter (<=1kb)	746.4256525	-0.555702892	0.106683195	6.26752E-08	1.38715E-06	Zbtb46
ENSMUSG00000027605	chr2	155547039	155556930	cluster_5	Promoter (<=1kb)	1731.819281	-0.455243062	0.121900113	5.52724E-05	0.000527408	Acss2
ENSMUSG00000027606	chr3	19508594	19610862	cluster_5	Promoter (<=1kb)	2.07589533	0.000450469	0.325955913	0.992744781	.	Dnajc5b
ENSMUSG00000027611	chr2	155751216	155755478	cluster_5	Promoter (<=1kb)	134.5910429	-0.331148981	0.252232546	0.074516779	0.182802202	Procr
ENSMUSG00000027612	chr2	155775341	155818366	cluster_5	Promoter (<=1kb)	7204.111011	-0.630313031	0.185362981	0.000150166	0.001232337	Mmp24
ENSMUSG00000027636	chr2	156872921	156887078	cluster_5	Promoter (<=1kb)	2.822454433	-0.147060185	0.365122449	0.097234911	.	Sla2
ENSMUSG00000027646	chr2	157424292	157471838	cluster_5	Promoter (<=1kb)	4316.0261	-0.077829183	0.0721848	0.272636479	0.452359198	Src
ENSMUSG00000027650	chr2	157981802	158009360	cluster_5	Promoter (<=1kb)	1228.417105	-0.118869791	0.139774453	0.336616684	0.519050149	Tti1
ENSMUSG00000027651	chr2	158070363	158091797	cluster_5	3' UTR	1526.276461	0.376281062	0.131131951	0.001686391	0.009377129	Rprd1b
ENSMUSG00000027654	chr2	158768098	158786637	cluster_5	Promoter (<=1kb)	291.2301198	-0.303859003	0.224313868	0.079878586	0.192663951	Fam83d
ENSMUSG00000027656	chr2	163820833	163833147	cluster_5	Promoter (<=1kb)	4812.395068	-0.191295458	0.333678038	0.232705712	0.406511558	Wisp2
ENSMUSG00000027661	chr2	165503896	165519917	cluster_5	Promoter (<=1kb)	131.9115225	0.155166316	0.188277263	0.316216938	0.498577743	Slc2a10
ENSMUSG00000027665	chr3	32436150	32468486	cluster_5	Promoter (<=1kb)	2557.633868	0.148759126	0.114966548	0.170604801	0.32946678	Pik3ca
ENSMUSG00000027669	chr3	32583527	32616535	cluster_5	Promoter (<=1kb)	2214.225658	-0.271576591	0.243878703	0.124839416	0.264243649	Gnb4
ENSMUSG00000027674	chr3	32947925	33083060	cluster_5	Promoter (<=1kb)	1002.490647	-0.596308854	0.211601706	0.000890871	0.005514512	Pex5l
ENSMUSG00000027678	chr2	165992636	166073242	cluster_5	Promoter (<=1kb)	1254.094742	-0.222934358	0.101936478	0.020920374	0.070125785	Ncoa3
ENSMUSG00000027684	chr3	29951295	30013204	cluster_5	Promoter (<=1kb)	67.76694035	-0.64870552	0.58387597	0.01355525	0.050056437	Mecom
ENSMUSG00000027690	chr3	28697902	28728360	cluster_5	Promoter (<=1kb)	2.257873095	-0.106623011	0.346712198	0.099148972	.	Slc2a2
ENSMUSG00000027702	chr3	30644506	30672431	cluster_5	Promoter (<=1kb)	72.918586	0.223261665	0.297740235	0.216393304	0.387504819	Lrrc34
ENSMUSG00000027720	chr3	37120715	37125954	cluster_5	Promoter (<=1kb)	3.097441083	-0.056345972	0.320379832	0.548421999	.	Il2
ENSMUSG00000027742	chr3	52906755	52927666	cluster_5	Distal Intergenic	1641.603926	-0.266229715	0.075418239	0.000277163	0.002049245	Cog6
ENSMUSG00000027744	chr3	53488792	53507652	cluster_5	Promoter (<=1kb)	8.425581922	0.154798764	0.353714459	0.194887396	0.360911754	Stoml3
ENSMUSG00000027750	chr3	54361106	54391041	cluster_5	Promoter (<=1kb)	2574.195094	0.04336587	0.17220249	0.766783541	0.866357476	Postn
ENSMUSG00000027762	chr3	60081868	60087566	cluster_5	Promoter (<=1kb)	86.90556778	-0.023989959	0.252592084	0.882207179	0.935529934	Sucnr1
ENSMUSG00000027763	chr3	60472829	60629750	cluster_5	Promoter (<=1kb)	2202.17904	-0.163356395	0.09347062	0.069209104	0.173356979	Mbnl1
ENSMUSG00000027765	chr3	61002784	61008982	cluster_5	Promoter (<=1kb)	609.1046181	0.080811288	0.110722643	0.438578862	0.614472005	P2ry1
ENSMUSG00000027776	chr3	68690643	68698550	cluster_5	Promoter (<=1kb)	1.352056833	-0.031738826	0.325491477	0.591104058	.	Il12a
ENSMUSG00000027777	chr3	68064801	68626482	cluster_5	Promoter (<=1kb)	806.1722712	-0.569254359	0.114240359	1.55463E-07	3.07788E-06	Schip1
ENSMUSG00000027790	chr3	72888559	72966866	cluster_5	Promoter (<=1kb)	16.42767977	-0.106832283	0.305418284	0.450146198	0.624383395	Sis
ENSMUSG00000027792	chr3	73635808	73708415	cluster_5	Promoter (<=1kb)	708.4381663	-0.774744288	0.177405889	1.74397E-06	2.66255E-05	Bche
ENSMUSG00000027793	chr3	55045468	55055055	cluster_5	Promoter (<=1kb)	85.0739411	-0.244039314	0.274926095	0.177938882	0.339129984	Ccna1
ENSMUSG00000027827	chr3	65133058	65302685	cluster_5	Promoter (<=1kb)	429.7919309	-0.988135207	0.123344123	1.19885E-16	1.46094E-14	Kcnab1
ENSMUSG00000027831	chr3	66053557	66296837	cluster_5	Promoter (<=1kb)	85.78024305	-0.109108949	0.200170128	0.492756412	0.659955605	Veph1
ENSMUSG00000027833	chr3	66971722	66981771	cluster_5	Promoter (<=1kb)	2.324333718	0.052269722	0.325671686	0.472482799	.	Shox2
ENSMUSG00000027843	chr3	103859794	103912252	cluster_5	Promoter (<=1kb)	14.1634009	-0.297417487	0.421627276	0.0964255	0.220296648	Ptpn22
ENSMUSG00000027849	chr3	103575281	103630969	cluster_5	Promoter (<=1kb)	119.9596788	0.726439515	0.350825003	0.003572267	0.017308594	Syt6
ENSMUSG00000027855	chr3	102818498	102936100	cluster_5	Promoter (<=1kb)	1.894527984	0.014163696	0.326736084	0.618066829	.	Sycp1
ENSMUSG00000027860	chr3	102262404	102288771	cluster_5	Distal Intergenic	876.9537731	0.001432693	0.108583326	0.989681874	0.994252813	Vangl1
ENSMUSG00000027861	chr3	102086454	102146512	cluster_5	Promoter (<=1kb)	61.60410302	-0.249257938	0.267853863	0.17523919	0.335248116	Casq2
ENSMUSG00000027863	chr3	101275907	101287939	cluster_5	Promoter (<=1kb)	1.272028944	-0.059826008	0.331904411	0.291167954	.	Cd2
ENSMUSG00000027864	chr3	101040235	101110166	cluster_5	Promoter (<=1kb)	6230.518606	0.201602193	0.098857895	0.029541286	0.091486631	Ptgfrn
ENSMUSG00000027868	chr3	99199344	99199453	cluster_5	Intron (ENSMUST00000004343/ENSMUSG00000004233, intron 2 of 5)	90.29705409	0.373262278	0.25772289	0.050987162	0.138278496	Tbx15
ENSMUSG00000027868	chr3	99253759	99354260	cluster_5	Promoter (<=1kb)	90.29705409	0.373262278	0.25772289	0.050987162	0.138278496	Tbx15
ENSMUSG00000027875	chr3	98280430	98310738	cluster_5	Promoter (<=1kb)	63.36991571	0.267662665	0.386955427	0.113701585	0.247399092	Hmgcs2
ENSMUSG00000027876	chr3	98222155	98236748	cluster_5	Promoter (<=1kb)	1.752933797	0.033335005	0.327455383	0.62147435	.	Reg4
ENSMUSG00000027896	chr3	107291229	107307717	cluster_5	Promoter (<=1kb)	243.1283696	-0.02758291	0.207559696	0.869642246	0.929072775	Slc16a4
